siteId,siteCurrentName,siteClassification,siteAttractivenessClass,siteLatitude,siteLongitude,regionId,regionName,continent,siteBroadTerrain,siteSpecificTerrain,poiId,poiType,poiCurrentName,poiWorkingLabel,poiNameStatus,poiLatitude,poiLongitude,poiSurfaceType,poiHostFeatureId,poiPrimaryBiomeId,isMagical,isRuntimeEffectAnchor,siteAssignmentDistanceKm,siteAssignmentMethod,proposedPoiName,proposedPoiPronunciation,poiNamingNotes
SITE-021,,HAMLET,FRONTIER,78.191384,-117.845511,R03,Highsteppe,Northwestern,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,POI-019,PEAK,,High North Peak,WORKING,75.119537,-109.737107,LAND,PEAK-NW-01,BIOME-02,False,False,399.2,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-023,,CITY,PRIME,37.008632,-78.751768,R04,Rivergrass,Northwestern,FRESHWATER | WETLAND,FLOODPLAIN | LAKE | MARSH | POND | SWAMP,POI-040,LAKE,Northwestern Great Lake,Northwestern Great Lake,WORKING,42.076625,-80.302596,SHALLOW_WATER,WATER-NW-01,BIOME-SWATH-1886,False,False,579.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-023,,CITY,PRIME,37.008632,-78.751768,R04,Rivergrass,Northwestern,FRESHWATER | WETLAND,FLOODPLAIN | LAKE | MARSH | POND | SWAMP,POI-077,WETLAND,Northwestern Reedlands,Northwestern Reedlands,WORKING,37.533898,-71.217485,WETLAND,BIOME-SWATH-0461,BIOME-SWATH-1886,False,False,669.1,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-026,,HAMLET,GOOD,50.950665,-61.241933,R04,Rivergrass,Northwestern,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,POI-043,RIVER,Eastern Wetland Outflow,Eastern Wetland Outflow,WORKING,48.498128,-65.690746,SHALLOW_WATER,RIVER-SYS-0002,BIOME-CLASS-TEMPERATE_DENSE_FOREST,False,False,420.2,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-027,,HAMLET,MODEST,30.91927,-95.171737,R04,Rivergrass,Northwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,POI-044,RIVER,Waterfall River,Waterfall River,WORKING,37.66776,-104.538846,SHALLOW_WATER,RIVER-SYS-0003,BIOME-CLASS-SHADOW_FOREST,False,False,1140.6,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-027,,HAMLET,MODEST,30.91927,-95.171737,R04,Rivergrass,Northwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,POI-070,RAPIDS,Waterfall River Rapids,Waterfall River Rapids,WORKING,37.66776,-104.538846,SHALLOW_WATER,RIVER-SYS-0003,BIOME-CLASS-SHADOW_FOREST,False,False,1140.6,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-028,,HAMLET,FRONTIER,58.522775,-106.093649,R04,Rivergrass,Northwestern,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,POI-018,MOUNTAIN_RANGE,Northwestern Spine Range,Northwestern Spine Range,WORKING,52.982609,-105.934046,LAND,MOUNTAIN-RANGE-001,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,616.1,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-029,Crest Haven,METROPOLIS,METROPOLIS,28.255597,-83.267442,R05,Shadowspine,Northwestern,BUILT_ENVIRONMENT | FOREST | GENERALIST | MOUNTAIN,ALPINE | CASTLE | CITY | FOREST_FLOOR | GENERALIST | PLATEAU | ROAD | VILLAGE | WOODLAND | WORKSHOP,POI-006,GREAT_PIT,,Great Pit,WORKING,25.062007,-69.40248,LAND,,BIOME-05,True,True,1421.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-036,Ascendancy,METROPOLIS,METROPOLIS,20.360822,-32.076454,R06,Highcourt,Northwestern,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,POI-080,ISLAND,Highcourt Isle,Highcourt Isle,WORKING,21.140243,-32.789911,COASTAL_LAND,ISL-NW-001,BIOME-CLASS-GRASSLAND_STEPPE,False,False,0.0,OWNER_CORRECTION_CANONICAL_FEATURE_ASSOCIATION,,,
SITE-032,,VILLAGE,STRONG,21.654024,-32.893962,R05,Shadowspine,Northwestern,COASTAL | GRASSLAND,ESTUARY | ISLAND | STEPPE,POI-089,SEA,Meridian Sea,Meridian Sea,WORKING,39.0,-12.0,OPEN_WATER,,BIOME-CLASS-GRASSLAND_STEPPE,False,False,2769.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-035,,HAMLET,FRONTIER,35.141461,-101.544619,R05,Shadowspine,Northwestern,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,POI-001,WATERFALL,,Visible Major Waterfall,WORKING,28.960942,-102.70767,LAND,WATERFALL-NW-01,BIOME-06,False,False,695.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-035,,HAMLET,FRONTIER,35.141461,-101.544619,R05,Shadowspine,Northwestern,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,POI-021,PEAK,,Southern Spine Peak,WORKING,34.889584,-99.328597,LAND,PEAK-NW-03,BIOME-02,False,False,203.7,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-041,,HAMLET,MODEST,22.809119,-89.898424,R06,Highcourt,Northwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,POI-036,SHADOW_FOREST,Highcourt Shadow Forest,Highcourt Shadow Forest,WORKING,20.508091,-91.580353,LAND,BIOME-SWATH-0920,BIOME-CLASS-SHADOW_FOREST,False,False,309.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-041,,HAMLET,MODEST,22.809119,-89.898424,R06,Highcourt,Northwestern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,POI-051,FOREST,Northwestern Shadowwood,Northwestern Shadowwood,WORKING,20.508091,-91.580353,LAND,BIOME-SWATH-0920,BIOME-CLASS-SHADOW_FOREST,False,False,309.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-044,,CITY,PRIME,20.277945,-92.210754,R07,Duskcanopy,Northwestern,FOREST,FOREST_FLOOR | SHADOW_FOREST,POI-002,SHADOW_FOREST,Shadow Forest Heart,Shadow Forest Heart,WORKING,20.375,-91.03125,LAND,,BIOME-05,True,True,123.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-045,,TOWN,MAJOR,15.953738,-65.824259,R07,Duskcanopy,Northwestern,GRASSLAND,STEPPE,POI-037,STEPPE,Northwestern Long Steppe,Northwestern Long Steppe,WORKING,16.842925,-63.925236,LAND,BIOME-SWATH-0448,BIOME-CLASS-GRASSLAND_STEPPE,False,False,225.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-045,,TOWN,MAJOR,15.953738,-65.824259,R07,Duskcanopy,Northwestern,GRASSLAND,STEPPE,POI-061,PLAINS,Northwestern Longplain,Northwestern Longplain,WORKING,16.842925,-63.925236,LAND,BIOME-SWATH-0448,BIOME-CLASS-GRASSLAND_STEPPE,False,False,225.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-058,,CITY,PRIME,8.0,47.5,R09,Forestcrown,Eastern,GENERALIST,ISLAND,POI-067,FLOATING_ISLAND,,Floating Island 04,WORKING,11.5,50.5,FLOATING_ISLAND,FLOAT-ISLAND-004,BIOME-FLOATING,False,False,509.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-060,,VILLAGE,STRONG,63.339916,44.725359,R09,Forestcrown,Eastern,DESERT,COLD_DESERT | SCRUBLAND,POI-022,PEAK,,Western Snow Peak,WORKING,58.544592,36.611755,LAND,PEAK-EA-01,BIOME-02,False,False,689.1,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-061,,HAMLET,GOOD,26.092566,53.215823,R09,Forestcrown,Eastern,MOUNTAIN,ALPINE | PLATEAU,POI-013,GEYSER,,Visible Geyser,WORKING,19.988726,50.326945,FLOATING_ISLAND,,BIOME-04,True,True,740.2,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-067,,VILLAGE,STRONG,18.350748,45.594193,R10,Innerwood,Eastern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,POI-012,FLOATING_ISLAND_GROUP,,Floating Island Group,WORKING,17.959414,47.282976,FLOATING_ISLAND,,BIOME-04,True,True,183.7,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-071,Al-Mihraq,METROPOLIS,METROPOLIS,52.317676,61.929893,R11,Sunscar,Eastern,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | SAVANNA | VILLAGE | WORKSHOP,POI-041,LAKE,Eastern Great Lake,Eastern Great Lake,WORKING,56.014192,60.415407,SHALLOW_WATER,WATER-EA-01,BIOME-SWATH-2883,False,False,422.7,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-072,,CITY,PRIME,-5.131154,74.567461,R11,Sunscar,Eastern,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,POI-060,GRASSLAND,Eastern Golden Grasslands,Eastern Golden Grasslands,WORKING,-9.181,74.619,LAND,BIOME-SWATH-0982,BIOME-CLASS-WETLAND_DELTA,False,False,450.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-073,,TOWN,MAJOR,13.5,65.0,R11,Sunscar,Eastern,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,POI-046,RIVER,Western Tributary River,Western Tributary River,WORKING,19.958271,70.921467,SHALLOW_WATER,RIVER-SYS-0005,BIOME-SWATH-2274,False,False,955.4,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-073,,TOWN,MAJOR,13.5,65.0,R11,Sunscar,Eastern,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,POI-056,DESERT,Central Sunwaste,Central Sunwaste,WORKING,6.614945,69.397966,LAND,BIOME-SWATH-1192,BIOME-SWATH-2274,False,False,904.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-073,,TOWN,MAJOR,13.5,65.0,R11,Sunscar,Eastern,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,POI-064,FLOATING_ISLAND,,Floating Island 01,WORKING,15.0,62.0,FLOATING_ISLAND,FLOAT-ISLAND-001,BIOME-07,False,False,363.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-073,,TOWN,MAJOR,13.5,65.0,R11,Sunscar,Eastern,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,POI-065,FLOATING_ISLAND,,Floating Island 02,WORKING,13.5,65.0,FLOATING_ISLAND,FLOAT-ISLAND-002,BIOME-07,False,False,0.0,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-073,,TOWN,MAJOR,13.5,65.0,R11,Sunscar,Eastern,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,POI-066,FLOATING_ISLAND,,Floating Island 03,WORKING,17.0,68.0,FLOATING_ISLAND,FLOAT-ISLAND-003,BIOME-07,False,False,505.0,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-074,,VILLAGE,STRONG,31.044808,60.135891,R11,Sunscar,Eastern,GRASSLAND,SAVANNA,POI-052,FOREST,Eastern Crownwood,Eastern Crownwood,WORKING,31.392139,58.582888,LAND,BIOME-SWATH-0417,BIOME-CLASS-SAVANNA_WARM_GRASSLAND,False,False,152.6,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-078,Thalassor,METROPOLIS,METROPOLIS,39.033403,123.733175,R12,Reefward,Eastern,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,POI-081,ISLAND,Eastern Reef Isle,Eastern Reef Isle,WORKING,39.089905,121.426108,COASTAL_LAND,ISL-EA-003,BIOME-SWATH-0061,False,False,199.3,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-079,,CITY,PRIME,45.269806,118.372322,R12,Reefward,Eastern,COASTAL | OCEAN,CORAL_REEF | PELAGIC,POI-004,REEF,Eastern Great Reef,Eastern Great Reef,WORKING,43.122886,121.880496,SHALLOW_WATER,REEF-EA-01,BIOME-OCEAN,True,False,367.6,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-081,,VILLAGE,STRONG,22.144451,105.903675,R12,Reefward,Eastern,DESERT,HOT_DESERT | SCRUBLAND,POI-007,WORLD_TREE,,World Tree,WORKING,26.076663,102.074408,LAND,,BIOME-07,True,True,584.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-084,,HAMLET,FRONTIER,-2.985725,140.090037,R12,Reefward,Eastern,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,POI-010,MAELSTROM,,Eastern Maelstrom,WORKING,10.856821,146.719278,OPEN_WATER,,BIOME-OCEAN,True,True,1705.1,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-087,,TOWN,MAJOR,3.706228,90.436043,R13,Drymarsh,Eastern,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,POI-034,BADLANDS,Central Broken Badlands,Central Broken Badlands,WORKING,28.835938,96.898438,LAND,BIOME-SWATH-1047,BIOME-CLASS-WETLAND_DELTA,False,False,2876.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-087,,TOWN,MAJOR,3.706228,90.436043,R13,Drymarsh,Eastern,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,POI-047,RIVER,Eastern Tributary River,Eastern Tributary River,WORKING,25.479494,97.752337,SHALLOW_WATER,RIVER-SYS-0006,BIOME-CLASS-WETLAND_DELTA,False,False,2544.1,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-087,,TOWN,MAJOR,3.706228,90.436043,R13,Drymarsh,Eastern,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,POI-055,DESERT,Eastern Red Desert,Eastern Red Desert,WORKING,28.835938,96.898438,LAND,BIOME-SWATH-1047,BIOME-CLASS-WETLAND_DELTA,False,False,2876.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-092,Hydros,METROPOLIS,METROPOLIS,15.526637,76.91743,R14,Manywater,Eastern,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP,POI-033,BADLANDS,Eastern Red Badlands,Eastern Red Badlands,WORKING,14.939025,77.248603,LAND,BIOME-SWATH-0413,BIOME-SWATH-0217,False,False,74.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-092,Hydros,METROPOLIS,METROPOLIS,15.526637,76.91743,R14,Manywater,Eastern,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP,POI-045,RIVER,Great Southbound River,Great Southbound River,WORKING,14.679719,86.272997,SHALLOW_WATER,RIVER-SYS-0004,BIOME-SWATH-0217,False,False,1008.7,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-093,,CITY,PRIME,-7.294069,75.568698,R14,Manywater,Eastern,BUILT_ENVIRONMENT | FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MANGROVE | MUDFLAT | RUINS | SWAMP | TEMPLE,POI-078,WETLAND,Eastern Great Delta Wetlands,Eastern Great Delta Wetlands,WORKING,-9.543324,82.804924,WETLAND,BIOME-SWATH-0425,BIOME-CLASS-WETLAND_DELTA,False,False,834.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-095,,VILLAGE,STRONG,47.238613,77.118789,R14,Manywater,Eastern,GRASSLAND | MOUNTAIN,ALPINE | CLIFF | SAVANNA,POI-029,PEAK,,Derived Summit 01,WORKING,41.625,89.625,LAND,PEAK-DER-001,BIOME-02,False,False,1170.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-095,,VILLAGE,STRONG,47.238613,77.118789,R14,Manywater,Eastern,GRASSLAND | MOUNTAIN,ALPINE | CLIFF | SAVANNA,POI-087,PLATEAU,,Central Arid Plateau,WORKING,39.390287,85.52993,LAND,PLATEAU-EA-01,BIOME-07,False,False,1105.3,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-097,,HAMLET,MODEST,33.430442,102.817299,R14,Manywater,Eastern,MOUNTAIN | SUBTERRANEAN,ALPINE | BURROW | CANYON | CAVE | CLIFF | KARST | MINE | TUNNEL | UNDERGROUND_RIVER,POI-023,PEAK,,Eastern Badland Peak,WORKING,40.86681,95.597215,LAND,PEAK-EA-02,BIOME-01,False,False,1044.7,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-097,,HAMLET,MODEST,33.430442,102.817299,R14,Manywater,Eastern,MOUNTAIN | SUBTERRANEAN,ALPINE | BURROW | CANYON | CAVE | CLIFF | KARST | MINE | TUNNEL | UNDERGROUND_RIVER,POI-074,MOUNTAIN_RANGE,Eastern Badland Range,Eastern Badland Range,WORKING,40.362604,92.636874,LAND,MOUNTAIN-RANGE-006,BIOME-CLASS-ALPINE_MOUNTAIN,False,False,1187.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-099,Devanagri,METROPOLIS,METROPOLIS,34.265298,30.076611,R15,Forestfold,Eastern,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,POI-084,BAY,Eastern Crescent Bay,Eastern Crescent Bay,WORKING,29.0,31.0,SHALLOW_WATER,,BIOME-SWATH-2706,False,False,592.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-100,,CITY,PRIME,70.858398,33.705269,R15,Forestfold,Eastern,COASTAL,ESTUARY,POI-017,POLAR_ANOMALY,Polar Arcane Anomaly,Polar Arcane Anomaly,WORKING,75.794814,18.872604,LAND,,BIOME-OCEAN,True,True,720.6,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-100,,CITY,PRIME,70.858398,33.705269,R15,Forestfold,Eastern,COASTAL,ESTUARY,POI-091,OCEAN,Northern Ocean,Northern Ocean,WORKING,73.0,0.0,OPEN_WATER,,BIOME-CLASS-OCEAN,False,False,1170.0,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-101,,TOWN,MAJOR,18.04858,27.812017,R15,Forestfold,Eastern,MOUNTAIN,ALPINE | PLATEAU,POI-024,PEAK,,Southwest Peak,WORKING,18.220072,31.677112,LAND,PEAK-EA-03,BIOME-02,False,False,408.9,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-104,,HAMLET,MODEST,58.694108,19.562765,R15,Forestfold,Eastern,DESERT,HOT_DESERT | SCRUBLAND,POI-008,HEAVENFALL,,Heavenfall,WORKING,46.369786,-3.449831,LAND,,BIOME-OCEAN,True,True,2055.1,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-104,,HAMLET,MODEST,58.694108,19.562765,R15,Forestfold,Eastern,DESERT,HOT_DESERT | SCRUBLAND,POI-038,STEPPE,Northern Cold Steppe,Northern Cold Steppe,WORKING,60.881,25.825,LAND,BIOME-SWATH-2828,BIOME-CLASS-DESERT_BADLANDS,False,False,426.2,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-104,,HAMLET,MODEST,58.694108,19.562765,R15,Forestfold,Eastern,DESERT,HOT_DESERT | SCRUBLAND,POI-054,DESERT,Northern Amber Desert,Northern Amber Desert,WORKING,56.246622,20.310811,LAND,BIOME-SWATH-0182,BIOME-CLASS-DESERT_BADLANDS,False,False,275.8,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-107,,CITY,PRIME,3.74199,97.410167,R16,Eastchain,Eastern,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,POI-057,DESERT,Southeastern Drylands,Southeastern Drylands,WORKING,-0.578713,102.169771,LAND,BIOME-SWATH-0398,BIOME-CLASS-WETLAND_DELTA,False,False,714.5,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-113,Sylvan Gate,METROPOLIS,METROPOLIS,-16.01149,-108.542634,R17,Canopywall,Southwestern,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-085,BAY,Southwestern Emerald Bay,Southwestern Emerald Bay,WORKING,-11.0,-108.0,SHALLOW_WATER,,BIOME-SWATH-0139,False,False,560.3,NEAREST_COMPATIBLE_SITE_FOR_OFFSHORE_POI,,,
SITE-118,,HAMLET,MODEST,-12.292623,-100.032484,R17,Canopywall,Southwestern,GRASSLAND,SAVANNA,POI-031,JUNGLE,Eastern Monsoon Jungle,Eastern Monsoon Jungle,WORKING,-15.216355,-99.392458,LAND,BIOME-SWATH-0434,BIOME-CLASS-SAVANNA_WARM_GRASSLAND,False,False,332.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
SITE-120,Gryphon Reach,METROPOLIS,METROPOLIS,-9.432322,-74.529366,R18,Aerie Peaks,Southwestern,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,POI-059,GRASSLAND,Southwestern Greensteppe,Southwestern Greensteppe,WORKING,-11.173435,-73.874529,LAND,BIOME-SWATH-1077,BIOME-SWATH-0511,False,False,206.4,NEAREST_COMPATIBLE_SITE_IN_PHYSICAL_REGION,,,
