regionId,regionName,siteId,currentSiteName,nameStatus,classification,attractivenessTier,latitude,longitude,broadTerrain,specificTerrain
R11,Sunscar,SITE-071,Al-Mihraq,CANONICAL,METROPOLIS,7,52.317676,61.929893,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | SAVANNA | VILLAGE | WORKSHOP
R12,Reefward,SITE-078,Thalassor,CANONICAL,METROPOLIS,7,39.033403,123.733175,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP
R13,Drymarsh,SITE-085,Celestial Quay,CANONICAL,METROPOLIS,7,-20.370677,97.922804,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP
R14,Manywater,SITE-092,Hydros,CANONICAL,METROPOLIS,7,15.526637,76.91743,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP
R15,Forestfold,SITE-099,Devanagri,CANONICAL,METROPOLIS,7,34.265298,30.076611,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP
R16,Eastchain,SITE-106,Naga-Pura,CANONICAL,METROPOLIS,7,-0.767155,150.922246,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP
R17,Canopywall,SITE-113,Sylvan Gate,CANONICAL,METROPOLIS,7,-16.01149,-108.542634,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP
R18,Aerie Peaks,SITE-120,Gryphon Reach,CANONICAL,METROPOLIS,7,-9.432322,-74.529366,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP
R19,Caldera Heights,SITE-127,Whakareva,CANONICAL,METROPOLIS,7,-27.87888,18.921071,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP
R20,Heartwood,SITE-134,Chiroptera,CANONICAL,METROPOLIS,7,-31.615694,-21.940734,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP
R21,Ringwood Isles,SITE-141,Atlantia,CANONICAL,METROPOLIS,7,-34.432478,91.026361,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP
R22,The Chains,SITE-148,Tjuringa,CANONICAL,METROPOLIS,7,-68.023152,43.027322,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP
R23,Highwater,SITE-155,Yupanqui,CANONICAL,METROPOLIS,7,-48.118616,-65.100893,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP
R24,Southcanopy,SITE-162,Lacerta Shore,CANONICAL,METROPOLIS,7,-62.173143,-89.240738,BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST,CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP
R25,Marshroot,SITE-169,Serpentis,CANONICAL,METROPOLIS,7,-72.707695,-23.324293,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | RAIN_FOREST | ROAD | VILLAGE | WORKSHOP
