siteId,regionId,regionName,continent,classification,broadTerrain,specificTerrain,poiCount,poiTypeList,poiIdAndLabelList,proposedSiteName,namingNotes
SITE-029,R05,Shadowspine,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST | MOUNTAIN,ALPINE | CASTLE | CITY | FOREST_FLOOR | GENERALIST | PLATEAU | ROAD | VILLAGE | WOODLAND | WORKSHOP,1,GREAT_PIT,POI-006 [GREAT_PIT] Great Pit,,
SITE-030,R05,Shadowspine,Raukaam,CITY,COASTAL,ESTUARY,0,,,,
SITE-031,R05,Shadowspine,Raukaam,TOWN,GRASSLAND,FARMLAND | MEADOW | PRAIRIE | SOIL | STEPPE,0,,,,
SITE-032,R05,Shadowspine,Raukaam,VILLAGE,COASTAL | GRASSLAND,ESTUARY | ISLAND | STEPPE,1,SEA,POI-089 [SEA] Meridian Sea,,
SITE-033,R05,Shadowspine,Raukaam,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-034,R05,Shadowspine,Raukaam,HAMLET,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-035,R05,Shadowspine,Raukaam,HAMLET,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,2,WATERFALL | PEAK,POI-001 [WATERFALL] Visible Major Waterfall; POI-021 [PEAK] Southern Spine Peak,,
SITE-036,R06,Highcourt,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,1,ISLAND,POI-080 [ISLAND] Highcourt Isle,,
SITE-037,R06,Highcourt,Raukaam,CITY,GRASSLAND,STEPPE,0,,,,
SITE-038,R06,Highcourt,Raukaam,TOWN,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-039,R06,Highcourt,Raukaam,VILLAGE,COASTAL,ESTUARY,0,,,,
SITE-040,R06,Highcourt,Raukaam,HAMLET,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-041,R06,Highcourt,Raukaam,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,2,SHADOW_FOREST | FOREST,POI-036 [SHADOW_FOREST] Highcourt Shadow Forest; POI-051 [FOREST] Northwestern Shadowwood,,
SITE-042,R06,Highcourt,Raukaam,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-043,R07,Duskcanopy,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | STEPPE | VILLAGE | WORKSHOP,0,,,,
SITE-044,R07,Duskcanopy,Raukaam,CITY,FOREST,FOREST_FLOOR | SHADOW_FOREST,1,SHADOW_FOREST,POI-002 [SHADOW_FOREST] Shadow Forest Heart,,
SITE-045,R07,Duskcanopy,Raukaam,TOWN,GRASSLAND,STEPPE,2,STEPPE | PLAINS,POI-037 [STEPPE] Northwestern Long Steppe; POI-061 [PLAINS] Northwestern Longplain,,
SITE-046,R07,Duskcanopy,Raukaam,VILLAGE,COASTAL,ESTUARY | ISLAND,0,,,,
SITE-047,R07,Duskcanopy,Raukaam,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-048,R07,Duskcanopy,Raukaam,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-049,R07,Duskcanopy,Raukaam,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-050,R08,Shadeleaf,Raukaam,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | FOREST | GENERALIST,CASTLE | CITY | ESTUARY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,0,,,,
SITE-051,R08,Shadeleaf,Raukaam,CITY,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,0,,,,
SITE-052,R08,Shadeleaf,Raukaam,TOWN,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-053,R08,Shadeleaf,Raukaam,VILLAGE,FOREST,FOREST_FLOOR | SHADOW_FOREST,0,,,,
SITE-054,R08,Shadeleaf,Raukaam,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-055,R08,Shadeleaf,Raukaam,HAMLET,GRASSLAND,STEPPE,0,,,,
SITE-056,R08,Shadeleaf,Raukaam,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-057,R09,Forestcrown,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,0,,,,
SITE-058,R09,Forestcrown,Morgenland,CITY,GENERALIST,ISLAND,1,FLOATING_ISLAND,POI-067 [FLOATING_ISLAND] Floating Island 04,,
SITE-059,R09,Forestcrown,Morgenland,TOWN,COASTAL | GRASSLAND,ESTUARY | SAVANNA,0,,,,
SITE-060,R09,Forestcrown,Morgenland,VILLAGE,DESERT,COLD_DESERT | SCRUBLAND,1,PEAK,POI-022 [PEAK] Western Snow Peak,,
SITE-061,R09,Forestcrown,Morgenland,HAMLET,MOUNTAIN,ALPINE | PLATEAU,1,GEYSER,POI-013 [GEYSER] Visible Geyser,,
SITE-062,R09,Forestcrown,Morgenland,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,0,,,,
SITE-063,R09,Forestcrown,Morgenland,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-064,R10,Innerwood,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | FOREST | FRESHWATER | GENERALIST,CASTLE | CITY | FLOODPLAIN | FOREST_FLOOR | GENERALIST | RIVER | ROAD | VILLAGE | WOODLAND | WORKSHOP,0,,,,
SITE-065,R10,Innerwood,Morgenland,CITY,FRESHWATER | GRASSLAND,LAKE | POND | SAVANNA,0,,,,
SITE-066,R10,Innerwood,Morgenland,TOWN,COASTAL | GRASSLAND,ESTUARY | SAVANNA,0,,,,
SITE-067,R10,Innerwood,Morgenland,VILLAGE,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,1,FLOATING_ISLAND_GROUP,POI-012 [FLOATING_ISLAND_GROUP] Floating Island Group,,
SITE-068,R10,Innerwood,Morgenland,HAMLET,MOUNTAIN,ALPINE | PLATEAU,0,,,,
SITE-069,R10,Innerwood,Morgenland,HAMLET,COASTAL | GRASSLAND | POLAR_ICE,BOREAL_FOREST | ESTUARY | TUNDRA,0,,,,
SITE-070,R10,Innerwood,Morgenland,HAMLET,DESERT | FRESHWATER,FLOODPLAIN | HOT_DESERT | RIVER | SCRUBLAND,0,,,,
SITE-071,R11,Sunscar,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | SAVANNA | VILLAGE | WORKSHOP,1,LAKE,POI-041 [LAKE] Eastern Great Lake,,
SITE-072,R11,Sunscar,Morgenland,CITY,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,1,GRASSLAND,POI-060 [GRASSLAND] Eastern Golden Grasslands,,
SITE-073,R11,Sunscar,Morgenland,TOWN,DESERT | GENERALIST,HOT_DESERT | ISLAND | SCRUBLAND,5,RIVER | DESERT | FLOATING_ISLAND | FLOATING_ISLAND | FLOATING_ISLAND,POI-046 [RIVER] Western Tributary River; POI-056 [DESERT] Central Sunwaste; POI-064 [FLOATING_ISLAND] Floating Island 01; POI-065 [FLOATING_ISLAND] Floating Island 02; POI-066 [FLOATING_ISLAND] Floating Island 03,,
SITE-074,R11,Sunscar,Morgenland,VILLAGE,GRASSLAND,SAVANNA,1,FOREST,POI-052 [FOREST] Eastern Crownwood,,
SITE-075,R11,Sunscar,Morgenland,HAMLET,DESERT,HOT_DESERT | SCRUBLAND,0,,,,
SITE-076,R11,Sunscar,Morgenland,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | WOODLAND,0,,,,
SITE-077,R11,Sunscar,Morgenland,HAMLET,COASTAL,ESTUARY,0,,,,
SITE-078,R12,Reefward,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,1,ISLAND,POI-081 [ISLAND] Eastern Reef Isle,,
SITE-079,R12,Reefward,Morgenland,CITY,COASTAL | OCEAN,CORAL_REEF | PELAGIC,1,REEF,POI-004 [REEF] Eastern Great Reef,,
SITE-080,R12,Reefward,Morgenland,TOWN,COASTAL | GRASSLAND,ESTUARY | ISLAND | SAVANNA,0,,,,
SITE-081,R12,Reefward,Morgenland,VILLAGE,DESERT,HOT_DESERT | SCRUBLAND,1,WORLD_TREE,POI-007 [WORLD_TREE] World Tree,,
SITE-082,R12,Reefward,Morgenland,HAMLET,MOUNTAIN,ALPINE | CLIFF,0,,,,
SITE-083,R12,Reefward,Morgenland,HAMLET,DESERT,HOT_DESERT | SCRUBLAND,0,,,,
SITE-084,R12,Reefward,Morgenland,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,1,MAELSTROM,POI-010 [MAELSTROM] Eastern Maelstrom,,
SITE-085,R13,Drymarsh,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,0,,,,
SITE-086,R13,Drymarsh,Morgenland,CITY,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,0,,,,
SITE-087,R13,Drymarsh,Morgenland,TOWN,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,3,BADLANDS | RIVER | DESERT,POI-034 [BADLANDS] Central Broken Badlands; POI-047 [RIVER] Eastern Tributary River; POI-055 [DESERT] Eastern Red Desert,,
SITE-088,R13,Drymarsh,Morgenland,VILLAGE,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | RIVER | SWAMP,0,,,,
SITE-089,R13,Drymarsh,Morgenland,HAMLET,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,0,,,,
SITE-090,R13,Drymarsh,Morgenland,HAMLET,COASTAL,ESTUARY | ISLAND,0,,,,
SITE-091,R13,Drymarsh,Morgenland,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,0,,,,
SITE-092,R14,Manywater,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP,2,BADLANDS | RIVER,POI-033 [BADLANDS] Eastern Red Badlands; POI-045 [RIVER] Great Southbound River,,
SITE-093,R14,Manywater,Morgenland,CITY,BUILT_ENVIRONMENT | FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MANGROVE | MUDFLAT | RUINS | SWAMP | TEMPLE,1,WETLAND,POI-078 [WETLAND] Eastern Great Delta Wetlands,,
SITE-094,R14,Manywater,Morgenland,TOWN,COASTAL | DESERT,ESTUARY | HOT_DESERT | SCRUBLAND,0,,,,
SITE-095,R14,Manywater,Morgenland,VILLAGE,GRASSLAND | MOUNTAIN,ALPINE | CLIFF | SAVANNA,2,PEAK | PLATEAU,POI-029 [PEAK] Derived Summit 01; POI-087 [PLATEAU] Central Arid Plateau,,
SITE-096,R14,Manywater,Morgenland,HAMLET,COASTAL | FOREST | SUBTERRANEAN,CANOPY | CLOUD_FOREST | COASTAL_CLIFF | ESTUARY | FJORD | FLOWERING_HABITAT | FOREST_EDGE | FOREST_FLOOR | ISLAND | KELP_FOREST | OLD_GROWTH_FOREST | SEAGRASS_BED | SEA_CAVE | VOLCANIC | WOODLAND,0,,,,
SITE-097,R14,Manywater,Morgenland,HAMLET,MOUNTAIN | SUBTERRANEAN,ALPINE | BURROW | CANYON | CAVE | CLIFF | KARST | MINE | TUNNEL | UNDERGROUND_RIVER,2,PEAK | MOUNTAIN_RANGE,POI-023 [PEAK] Eastern Badland Peak; POI-074 [MOUNTAIN_RANGE] Eastern Badland Range,,
SITE-098,R14,Manywater,Morgenland,HAMLET,DESERT,DUNES | HOT_DESERT | OASIS | SCRUBLAND,0,,,,
SITE-099,R15,Forestfold,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ROAD | VILLAGE | WOODLAND | WORKSHOP,1,BAY,POI-084 [BAY] Eastern Crescent Bay,,
SITE-100,R15,Forestfold,Morgenland,CITY,COASTAL,ESTUARY,2,POLAR_ANOMALY | OCEAN,POI-017 [POLAR_ANOMALY] Polar Arcane Anomaly; POI-091 [OCEAN] Northern Ocean,,
SITE-101,R15,Forestfold,Morgenland,TOWN,MOUNTAIN,ALPINE | PLATEAU,1,PEAK,POI-024 [PEAK] Southwest Peak,,
SITE-102,R15,Forestfold,Morgenland,VILLAGE,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,0,,,,
SITE-103,R15,Forestfold,Morgenland,HAMLET,GRASSLAND,SAVANNA,0,,,,
SITE-104,R15,Forestfold,Morgenland,HAMLET,DESERT,HOT_DESERT | SCRUBLAND,3,HEAVENFALL | STEPPE | DESERT,POI-008 [HEAVENFALL] Heavenfall; POI-038 [STEPPE] Northern Cold Steppe; POI-054 [DESERT] Northern Amber Desert,,
SITE-105,R15,Forestfold,Morgenland,HAMLET,FOREST,FOREST_FLOOR | WOODLAND,0,,,,
SITE-106,R16,Eastchain,Morgenland,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,0,,,,
SITE-107,R16,Eastchain,Morgenland,CITY,FRESHWATER | WETLAND,DELTA | FLOODPLAIN | MUDFLAT | SWAMP,1,DESERT,POI-057 [DESERT] Southeastern Drylands,,
SITE-108,R16,Eastchain,Morgenland,TOWN,COASTAL,ESTUARY | ISLAND,0,,,,
SITE-109,R16,Eastchain,Morgenland,VILLAGE,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | WOODLAND,0,,,,
SITE-110,R16,Eastchain,Morgenland,HAMLET,COASTAL | GRASSLAND,ESTUARY | ISLAND | SAVANNA,0,,,,
SITE-111,R16,Eastchain,Morgenland,HAMLET,COASTAL | DESERT,ESTUARY | HOT_DESERT | SCRUBLAND,0,,,,
SITE-112,R16,Eastchain,Morgenland,HAMLET,DESERT,HOT_DESERT | SCRUBLAND,0,,,,
SITE-113,R17,Canopywall,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,1,BAY,POI-085 [BAY] Southwestern Emerald Bay,,
SITE-114,R17,Canopywall,Valdmere,CITY,POLAR_ICE,GLACIER | PACK_ICE,0,,,,
SITE-115,R17,Canopywall,Valdmere,TOWN,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,0,,,,
SITE-116,R17,Canopywall,Valdmere,VILLAGE,COASTAL,ESTUARY,0,,,,
SITE-117,R17,Canopywall,Valdmere,HAMLET,GRASSLAND,STEPPE,0,,,,
SITE-118,R17,Canopywall,Valdmere,HAMLET,GRASSLAND,SAVANNA,1,JUNGLE,POI-031 [JUNGLE] Eastern Monsoon Jungle,,
SITE-119,R17,Canopywall,Valdmere,HAMLET,FOREST,FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-120,R18,Aerie Peaks,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,1,GRASSLAND,POI-059 [GRASSLAND] Southwestern Greensteppe,,
SITE-121,R18,Aerie Peaks,Valdmere,CITY,MOUNTAIN | POLAR_ICE,ALPINE | GLACIER | PACK_ICE | PLATEAU,1,PEAK,POI-025 [PEAK] Northwest High Peak,,
SITE-122,R18,Aerie Peaks,Valdmere,TOWN,POLAR_ICE,GLACIER | PACK_ICE,2,PEAK | GLACIER,POI-026 [PEAK] Central High Peak; POI-069 [GLACIER] Southwestern Spine Glacier,,
SITE-123,R18,Aerie Peaks,Valdmere,VILLAGE,MOUNTAIN,ALPINE | PLATEAU,1,MOUNTAIN_RANGE,POI-039 [MOUNTAIN_RANGE] Southwestern Spine Range,,
SITE-124,R18,Aerie Peaks,Valdmere,HAMLET,COASTAL | GRASSLAND,ESTUARY | STEPPE,0,,,,
SITE-125,R18,Aerie Peaks,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-126,R18,Aerie Peaks,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-127,R19,Caldera Heights,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,3,HELL_DOOR | PEAK | VOLCANO,POI-009 [HELL_DOOR] Hell Door; POI-028 [PEAK] Far East Volcano Peak; POI-073 [VOLCANO] Far-East Volcano,,
SITE-128,R19,Caldera Heights,Valdmere,CITY,COASTAL | GRASSLAND,ESTUARY | SAVANNA,1,CALDERA,POI-014 [CALDERA] Volcanic Caldera,,
SITE-129,R19,Caldera Heights,Valdmere,TOWN,COASTAL,ESTUARY,0,,,,
SITE-130,R19,Caldera Heights,Valdmere,VILLAGE,GRASSLAND,STEPPE,2,JUNGLE | FOREST,POI-032 [JUNGLE] Southwestern Emerald Jungle; POI-053 [FOREST] Southwestern Rainwood,,
SITE-131,R19,Caldera Heights,Valdmere,HAMLET,FOREST,FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-132,R19,Caldera Heights,Valdmere,HAMLET,MOUNTAIN,ALPINE | CLIFF,3,HOT_SPRING | PEAK | VOLCANO,POI-015 [HOT_SPRING] Hot Spring Field; POI-027 [PEAK] Eastern Volcano Peak; POI-072 [VOLCANO] Eastern Volcano,,
SITE-133,R19,Caldera Heights,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
SITE-134,R20,Heartwood,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | FRESHWATER | GENERALIST | GRASSLAND,CASTLE | CITY | FLOODPLAIN | GENERALIST | RIVER | ROAD | SAVANNA | VILLAGE | WORKSHOP,0,,,,
SITE-135,R20,Heartwood,Valdmere,CITY,GRASSLAND,SAVANNA,0,,,,
SITE-136,R20,Heartwood,Valdmere,TOWN,GRASSLAND,STEPPE,0,,,,
SITE-137,R20,Heartwood,Valdmere,VILLAGE,COASTAL | GRASSLAND,ESTUARY | ISLAND | SAVANNA,0,,,,
SITE-138,R20,Heartwood,Valdmere,HAMLET,COASTAL | GRASSLAND,ESTUARY | ISLAND | STEPPE,0,,,,
SITE-139,R20,Heartwood,Valdmere,HAMLET,COASTAL | FOREST | MOUNTAIN,ALPINE | ESTUARY | FOREST_FLOOR | PLATEAU | RAIN_FOREST,0,,,,
SITE-140,R20,Heartwood,Valdmere,HAMLET,MOUNTAIN,ALPINE | CLIFF,0,,,,
SITE-141,R21,Ringwood Isles,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,0,,,,
SITE-142,R21,Ringwood Isles,Valdmere,CITY,COASTAL | GRASSLAND,ESTUARY | STEPPE,1,SEA,POI-090 [SEA] Southern Passage Sea,,
SITE-143,R21,Ringwood Isles,Valdmere,TOWN,GRASSLAND,SAVANNA,0,,,,
SITE-144,R21,Ringwood Isles,Valdmere,VILLAGE,COASTAL,ESTUARY,0,,,,
SITE-145,R21,Ringwood Isles,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | RAIN_FOREST,2,VOLCANIC_ISLAND_CHAIN | UNDERWATER_LANDMARK,POI-005 [VOLCANIC_ISLAND_CHAIN] Visible Volcanic Island Chain; POI-016 [UNDERWATER_LANDMARK] Abyssal Underwater Landmark,,
SITE-146,R21,Ringwood Isles,Valdmere,HAMLET,POLAR_ICE,GLACIER | PACK_ICE,1,RIVER,POI-049 [RIVER] Central Plains River,,
SITE-147,R21,Ringwood Isles,Valdmere,HAMLET,MOUNTAIN,ALPINE | PLATEAU,3,PEAK | PLAINS | MOUNTAIN_RANGE,POI-030 [PEAK] Derived Summit 02; POI-062 [PLAINS] Southern Great Plain; POI-075 [MOUNTAIN_RANGE] Southern Long Range,,
SITE-148,R22,The Chains,Valdmere,METROPOLIS,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ISLAND | ROAD | SAVANNA | VILLAGE | WORKSHOP,1,ISLAND,POI-083 [ISLAND] Far-South Ice Isle,,
SITE-149,R22,The Chains,Valdmere,CITY,GRASSLAND,STEPPE,0,,,,
SITE-150,R22,The Chains,Valdmere,TOWN,COASTAL,ESTUARY,0,,,,
SITE-151,R22,The Chains,Valdmere,VILLAGE,COASTAL | GRASSLAND,ESTUARY | ISLAND | SAVANNA,0,,,,
SITE-152,R22,The Chains,Valdmere,HAMLET,COASTAL,ESTUARY,0,,,,
SITE-153,R22,The Chains,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | ISLAND | RAIN_FOREST,1,ISLAND,POI-082 [ISLAND] Emberchain Isle,,
SITE-154,R22,The Chains,Valdmere,HAMLET,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | RAIN_FOREST,0,,,,
