regionId,regionName,latticeId,foundingCity,metropolisSiteId,worldScope,assignmentSlot,speciesKind,groupId,groupName,assignmentPass,locked,regionStatus,regionNotes,assignmentSourceUrl,regionSourceUrl
R10,Innerwood,L10,Ashgarden [C] / Second Song [S] / Last Well [R],SITE-0243,R,3,BEAST,B07,"Elephants, Hyraxes & Afrotherians",PASS_2_LOCKED,true,CANONICAL,R10 physical geography exists in all worlds but has no original founding city. Innerwood is founded only after DJT dispossesses a founding population: C exiles from Highcourt establish Ashgarden; S exiles from The Chains establish Second Song; R exiles from Sunscar establish Last Well.,https://app.notion.com/p/3b92380d0cae815492b9f0b858c7c360,https://app.notion.com/p/3b82380d0cae8146b7b9e38189fbf1eb
R11,Sunscar,L15,Al-Mihraq,SITE-0129,CS,1,HUMAN,H01,Arabian Peninsula,PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/S; in R, DJT seizes the founding city and Sunscar becomes the federal-capital region. Displaced Ruin-world exiles later found Last Well in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae81428ae7fb791bb37073,https://app.notion.com/p/3b82380d0cae818db355d6220f193e37
R11,Sunscar,L15,Al-Mihraq,SITE-0129,CS,2,HUMAN,H17,North African & Saharan,PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/S; in R, DJT seizes the founding city and Sunscar becomes the federal-capital region. Displaced Ruin-world exiles later found Last Well in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae811ca8c7e0d083d3798c,https://app.notion.com/p/3b82380d0cae818db355d6220f193e37
R11,Sunscar,L15,Al-Mihraq,SITE-0129,CS,3,BEAST,B07,"Elephants, Hyraxes & Afrotherians",PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/S; in R, DJT seizes the founding city and Sunscar becomes the federal-capital region. Displaced Ruin-world exiles later found Last Well in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae8143988bc9314c44f535,https://app.notion.com/p/3b82380d0cae818db355d6220f193e37
R12,Reefward,L20,Thalassor,SITE-0225,CSR,1,MYTHOS,M15,"Household, Land & Place Spirits",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8142801fcc162d121012,https://app.notion.com/p/3b82380d0cae818da867d682589883a4
R12,Reefward,L20,Thalassor,SITE-0225,CSR,2,MYTHOS,M18,Merfolk & Aquatic Peoples,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae815dbedeefed194256f1,https://app.notion.com/p/3b82380d0cae818da867d682589883a4
R12,Reefward,L20,Thalassor,SITE-0225,CSR,3,BEAST,B19,"Sharks, Rays & Jawless Fish",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81a7b11adf4d64cf2da8,https://app.notion.com/p/3b82380d0cae818da867d682589883a4
R13,Drymarsh,L24,Celestial Quay,SITE-0177,CSR,1,HUMAN,H13,Levantine & Mesopotamian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81b7a2f2d9d9438d0cb5,https://app.notion.com/p/3b82380d0cae816aaa70d15dfa29b438
R13,Drymarsh,L24,Celestial Quay,SITE-0177,CSR,2,MYTHOS,M04,Divine & Heavenly Spirits,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8104bf80f24ae534338d,https://app.notion.com/p/3b82380d0cae816aaa70d15dfa29b438
R13,Drymarsh,L24,Celestial Quay,SITE-0177,CSR,3,BEAST,B01,Amphibians,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81228fb5f9756efc2ffc,https://app.notion.com/p/3b82380d0cae816aaa70d15dfa29b438
R14,Manywater,L19,Hydros,SITE-0242,CSR,1,HUMAN,H11,Horn of Africa & Red Sea,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae813fbb0ad00afea48bc9,https://app.notion.com/p/3b82380d0cae81259694e8c41f37a239
R14,Manywater,L19,Hydros,SITE-0242,CSR,2,BEAST,B04,Bony Fish,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81cd9e08d1daeb142a04,https://app.notion.com/p/3b82380d0cae81259694e8c41f37a239
R14,Manywater,L19,Hydros,SITE-0242,CSR,3,BEAST,B11,Mollusks & Other Invertebrates,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81b2b436f47147c32cc1,https://app.notion.com/p/3b82380d0cae81259694e8c41f37a239
R15,Forestfold,L05,Devanagri,SITE-0193,CSR,1,HUMAN,H20,South Asian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81d983f5d31f5aac8f11,https://app.notion.com/p/3b82380d0cae81169d79e5a661b2fb2d
R15,Forestfold,L05,Devanagri,SITE-0193,CSR,2,HUMAN,H04,Caucasian & Anatolian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b92380d0cae81c7ba41f1a5fdd4097b,https://app.notion.com/p/3b82380d0cae81169d79e5a661b2fb2d
R15,Forestfold,L05,Devanagri,SITE-0193,CSR,3,BEAST,B16,Primates,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae819695e6e9a2bf011a54,https://app.notion.com/p/3b82380d0cae81169d79e5a661b2fb2d
R16,Eastchain,L25,Naga-Pura,SITE-0145,CSR,1,HUMAN,H14,Mainland Southeast Asian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8185a92bd2177850f16a,https://app.notion.com/p/3b82380d0cae81eaa073f6d35ff73715
R16,Eastchain,L25,Naga-Pura,SITE-0145,CSR,2,HUMAN,H15,Maritime Southeast Asian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81df8549ec663dbd20ca,https://app.notion.com/p/3b82380d0cae81eaa073f6d35ff73715
R16,Eastchain,L25,Naga-Pura,SITE-0145,CSR,3,MYTHOS,M06,Dragons & Dragonkin,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8177bcf5ff3c362f03ac,https://app.notion.com/p/3b82380d0cae81eaa073f6d35ff73715
R17,Seawall,L11,Sylvan Gate,SITE-0305,CSR,1,HUMAN,H23,West African,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81dca99ef287ef429060,https://app.notion.com/p/3b82380d0cae811f800ed4f06297b847
R17,Seawall,L11,Sylvan Gate,SITE-0305,CSR,2,HUMAN,H05,Central African & Great Lakes,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81cbb3c7d77a5f4b41bd,https://app.notion.com/p/3b82380d0cae811f800ed4f06297b847
R17,Seawall,L11,Sylvan Gate,SITE-0305,CSR,3,BEAST,B15,"Pigeons, Gamebirds & Groundbirds",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae810dbc59e028cf3faa08,https://app.notion.com/p/3b82380d0cae811f800ed4f06297b847
R18,Aerie Peaks,L12,Gryphon Reach,SITE-0385,CSR,1,HUMAN,H22,Southern African,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81a8956af69a0cb3a707,https://app.notion.com/p/3b82380d0cae810e956bc461402b8a39
R18,Aerie Peaks,L12,Gryphon Reach,SITE-0385,CSR,2,BEAST,B12,Odd-Toed Ungulates,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81c0810ed91a5b8661b1,https://app.notion.com/p/3b82380d0cae810e956bc461402b8a39
R18,Aerie Peaks,L12,Gryphon Reach,SITE-0385,CSR,3,BEAST,B17,Raptors & Owls,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae814cbcbfd78618d9230e,https://app.notion.com/p/3b82380d0cae810e956bc461402b8a39
R19,Caldera Heights,L13,Whakareva,SITE-0289,CSR,1,HUMAN,H18,Pacific & Oceanian,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81fc87adf3c82cda828b,https://app.notion.com/p/3b82380d0cae8142a332f05bd9773e37
R19,Caldera Heights,L13,Whakareva,SITE-0289,CSR,2,BEAST,B14,Parrots & Cockatoos,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8139890ec73c8cae773a,https://app.notion.com/p/3b82380d0cae8142a332f05bd9773e37
R19,Caldera Heights,L13,Whakareva,SITE-0289,CSR,3,MYTHOS,M20,"Ogres, Trolls & Oni",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81208290d30b81428170,https://app.notion.com/p/3b82380d0cae8142a332f05bd9773e37
R20,Heartgrove,L18,Chiroptera,SITE-0353,CSR,1,BEAST,B03,Bats,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81c4a232c581b5c668f6,https://app.notion.com/p/3b82380d0cae81698326d575ff94f4e0
R20,Heartgrove,L18,Chiroptera,SITE-0353,CSR,2,BEAST,B18,Rodents & Lagomorphs,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae8141b57ec22746721379,https://app.notion.com/p/3b82380d0cae81698326d575ff94f4e0
R20,Heartgrove,L18,Chiroptera,SITE-0353,CSR,3,MYTHOS,M19,Nature & Plant Spirits,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81288542d1065c8c7983,https://app.notion.com/p/3b82380d0cae81698326d575ff94f4e0
R21,Ringwood Isles,L17,Atlantia,SITE-0275,CSR,1,HUMAN,H07,"Diaspora, Creole & Legendary Human Civilizations",PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae812c8a46dd87c7a7fb36,https://app.notion.com/p/3b82380d0cae81c6b28bf166ed8246cd
R21,Ringwood Isles,L17,Atlantia,SITE-0275,CSR,2,MYTHOS,M14,Golems,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae817abb7df83994d0a88d,https://app.notion.com/p/3b82380d0cae81c6b28bf166ed8246cd
R21,Ringwood Isles,L17,Atlantia,SITE-0275,CSR,3,MYTHOS,M13,Goblinoids & Orc-Kin,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81058943ef9e49a583a3,https://app.notion.com/p/3b82380d0cae81c6b28bf166ed8246cd
R22,The Chains,L23,Tjuringa,SITE-0321,CR,1,HUMAN,H03,Australian Indigenous,PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/R; in S, DJT seizes the founding city and The Chains becomes the federal-capital region. Displaced Schism-world exiles later found Second Song in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae8181b7c6f56d75c07d75,https://app.notion.com/p/3b82380d0cae81aa9be3dc8b3ba6fa58
R22,The Chains,L23,Tjuringa,SITE-0321,CR,2,BEAST,B10,Marsupials & Monotremes,PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/R; in S, DJT seizes the founding city and The Chains becomes the federal-capital region. Displaced Schism-world exiles later found Second Song in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae819391f9c811e91df86f,https://app.notion.com/p/3b82380d0cae81aa9be3dc8b3ba6fa58
R22,The Chains,L23,Tjuringa,SITE-0321,CR,3,BEAST,B13,Other Specialized Birds,PASS_2_LOCKED,true,CANONICAL,"Canonical region-to-lattice mapping. Original founding population applies in C/R; in S, DJT seizes the founding city and The Chains becomes the federal-capital region. Displaced Schism-world exiles later found Second Song in R10 Innerwood.",https://app.notion.com/p/3b72380d0cae81108c98c00a9aacdba1,https://app.notion.com/p/3b82380d0cae81aa9be3dc8b3ba6fa58
R23,Highwater,L21,Yupanqui,SITE-0257,CSR,1,HUMAN,H19,South American Indigenous,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81219ee6c06d0a9758cd,https://app.notion.com/p/3b82380d0cae819e9128d35be4bab36e
R23,Highwater,L21,Yupanqui,SITE-0257,CSR,2,BEAST,B24,Xenarthrans & Other Mammals,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae810cb4bdc70fc72ae228,https://app.notion.com/p/3b82380d0cae819e9128d35be4bab36e
R23,Highwater,L21,Yupanqui,SITE-0257,CSR,3,MYTHOS,M16,Hybrid & Legendary Monsters,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81608ae2e924bf300bd6,https://app.notion.com/p/3b82380d0cae819e9128d35be4bab36e
R24,Edgewood,L16,Lacerta Shore,SITE-0369,CSR,1,HUMAN,H16,Mesoamerican & Caribbean Indigenous,PASS_2_LOCKED,true,CANONICAL,Canonical region-to-lattice mapping.,https://app.notion.com/p/3b72380d0cae81639498def10176b372,https://app.notion.com/p/3b82380d0cae817186adf1cebe5109cb
