siteId,currentSiteName,nameStatus,classification,attractivenessClass,attractivenessTier,latitude,longitude,regionId,regionName,continent,surfaceType,biomeClass,broadTerrain,specificTerrain,elevationM,coastalDistanceKm,riverDistanceKm,wetlandDistanceKm,ridgeDistanceKm,hostFeatureId,poiCount,poiIds,poiTypes,poiCurrentLabels,poiSummary,namingContext,proposedSiteName,proposedPronunciation,siteNamingNotes
SITE-013,,WORKING,HAMLET,MODEST,2,65.233482,-120.91688,R02,Timbersteppe,Northwestern,LAND,TUNDRA_COOL_STEPPE,GRASSLAND | POLAR_ICE,BOREAL_FOREST | TUNDRA,641.7,43.3,1696.5,3207.6,1062.1,,0,,,,,Region: Timbersteppe || Continent: Northwestern || Class: Hamlet || Biome: Tundra Cool Steppe || Broad: GRASSLAND | POLAR_ICE || Specific: BOREAL_FOREST | TUNDRA,,,
SITE-014,,WORKING,HAMLET,FRONTIER,1,76.98077,-124.200159,R02,Timbersteppe,Northwestern,COASTAL_LAND,ICE_SNOW_GLACIER,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,102.0,0.7,2072.6,3706.5,1314.8,,0,,,,,Region: Timbersteppe || Continent: Northwestern || Class: Hamlet || Biome: Ice Snow Glacier || Broad: COASTAL | POLAR_ICE || Specific: ESTUARY | GLACIER | PACK_ICE,,,
SITE-015,High Torven,CANONICAL,METROPOLIS,METROPOLIS,7,45.138154,-106.720397,R03,Highsteppe,Northwestern,LAND,GRASSLAND_STEPPE,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,1698.4,3018.4,73.9,1546.6,293.9,,1,POI-050,FOREST,Northwestern Greatwood,POI-050 [FOREST] Northwestern Greatwood,Region: Highsteppe || Continent: Northwestern || Class: Metropolis || Biome: Grassland Steppe || Broad: BUILT_ENVIRONMENT | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP || POIs: POI-050 [FOREST] Northwestern Greatwood,,,
SITE-016,,WORKING,CITY,PRIME,6,67.002817,-111.030264,R03,Highsteppe,Northwestern,ICE,ICE_SNOW_GLACIER,MOUNTAIN | POLAR_ICE,ALPINE | CLIFF | GLACIER | PACK_ICE,2233.3,987.2,748.6,2412.2,166.1,,1,POI-020,PEAK,Central Spine Peak,POI-020 [PEAK] Central Spine Peak,Region: Highsteppe || Continent: Northwestern || Class: City || Biome: Ice Snow Glacier || Broad: MOUNTAIN | POLAR_ICE || Specific: ALPINE | CLIFF | GLACIER | PACK_ICE || POIs: POI-020 [PEAK] Central Spine Peak,,,
SITE-017,,WORKING,TOWN,MAJOR,5,41.016237,-128.410344,R03,Highsteppe,Northwestern,COASTAL_LAND,GRASSLAND_STEPPE,COASTAL | GRASSLAND,ESTUARY | STEPPE,475.2,6.7,2198.8,3590.9,929.2,,2,POI-003 | POI-063,HEATHERLANDS | HILLS,Rainbow Heatherland Heart | Heather Hills,POI-003 [HEATHERLANDS] Rainbow Heatherland Heart; POI-063 [HILLS] Heather Hills,Region: Highsteppe || Continent: Northwestern || Class: Town || Biome: Grassland Steppe || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | STEPPE || POIs: POI-003 [HEATHERLANDS] Rainbow Heatherland Heart; POI-063 [HILLS] Heather Hills,,,
SITE-018,,WORKING,VILLAGE,STRONG,4,52.935911,-128.825428,R03,Highsteppe,Northwestern,COASTAL_LAND,ALPINE_MOUNTAIN,COASTAL | MOUNTAIN,ALPINE | ESTUARY | MONTANE_FOREST | PLATEAU,4050.3,8.2,2146.6,3737.9,24.3,,0,,,,,Region: Highsteppe || Continent: Northwestern || Class: Village || Biome: Alpine Mountain || Broad: COASTAL | MOUNTAIN || Specific: ALPINE | ESTUARY | MONTANE_FOREST | PLATEAU,,,
SITE-019,,WORKING,HAMLET,GOOD,3,36.276413,-111.315626,R03,Highsteppe,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,893.4,60.6,669.1,1935.6,994.1,,0,,,,,Region: Highsteppe || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-020,,WORKING,HAMLET,MODEST,2,31.231603,-121.011345,R03,Highsteppe,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,399.4,60.1,1691.8,2949.3,1600.4,,0,,,,,Region: Highsteppe || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-021,,WORKING,HAMLET,FRONTIER,1,78.191384,-117.845511,R03,Highsteppe,Northwestern,COASTAL_LAND,ICE_SNOW_GLACIER,COASTAL | POLAR_ICE,ESTUARY | GLACIER | PACK_ICE,675.5,5.6,1495.6,3198.6,700.8,,1,POI-019,PEAK,High North Peak,POI-019 [PEAK] High North Peak,Region: Highsteppe || Continent: Northwestern || Class: Hamlet || Biome: Ice Snow Glacier || Broad: COASTAL | POLAR_ICE || Specific: ESTUARY | GLACIER | PACK_ICE || POIs: POI-019 [PEAK] High North Peak,,,
SITE-022,Suro Mara,CANONICAL,METROPOLIS,METROPOLIS,7,46.595012,-94.855377,R04,Rivergrass,Northwestern,LAND,GRASSLAND_STEPPE,BUILT_ENVIRONMENT | GENERALIST | GRASSLAND,CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,1096.5,2493.5,177.4,422.0,842.5,,0,,,,,Region: Rivergrass || Continent: Northwestern || Class: Metropolis || Biome: Grassland Steppe || Broad: BUILT_ENVIRONMENT | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | GENERALIST | ROAD | STEPPE | VILLAGE | WORKSHOP,,,
SITE-023,,WORKING,CITY,PRIME,6,37.008632,-78.751768,R04,Rivergrass,Northwestern,LAKE,WETLAND_DELTA,FRESHWATER | WETLAND,FLOODPLAIN | LAKE | MARSH | POND | SWAMP,,2589.6,701.0,0.0,755.9,WATERBODY-0002,2,POI-040 | POI-077,LAKE | WETLAND,Northwestern Great Lake | Northwestern Reedlands,POI-040 [LAKE] Northwestern Great Lake; POI-077 [WETLAND] Northwestern Reedlands,Region: Rivergrass || Continent: Northwestern || Class: City || Biome: Wetland Delta || Broad: FRESHWATER | WETLAND || Specific: FLOODPLAIN | LAKE | MARSH | POND | SWAMP || POIs: POI-040 [LAKE] Northwestern Great Lake; POI-077 [WETLAND] Northwestern Reedlands,,,
SITE-024,,WORKING,TOWN,MAJOR,5,47.269244,-79.454228,R04,Rivergrass,Northwestern,WETLAND,WETLAND_DELTA,WETLAND,FLOODPLAIN | MARSH | SWAMP,126.5,403.7,261.8,0.0,1564.7,,0,,,,,Region: Rivergrass || Continent: Northwestern || Class: Town || Biome: Wetland Delta || Broad: WETLAND || Specific: FLOODPLAIN | MARSH | SWAMP,,,
SITE-025,,WORKING,VILLAGE,STRONG,4,37.02695,-47.935195,R04,Rivergrass,Northwestern,LAND,GRASSLAND_STEPPE,GRASSLAND,STEPPE,53.1,43.4,1389.2,2133.4,3063.7,,0,,,,,Region: Rivergrass || Continent: Northwestern || Class: Village || Biome: Grassland Steppe || Broad: GRASSLAND || Specific: STEPPE,,,
SITE-026,,WORKING,HAMLET,GOOD,3,50.950665,-61.241933,R04,Rivergrass,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST | FRESHWATER,FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND,67.0,80.4,28.4,1069.5,2803.1,,1,POI-043,RIVER,Eastern Wetland Outflow,POI-043 [RIVER] Eastern Wetland Outflow,Region: Rivergrass || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST | FRESHWATER || Specific: FLOODPLAIN | FOREST_FLOOR | RIVER | WOODLAND || POIs: POI-043 [RIVER] Eastern Wetland Outflow,,,
SITE-027,,WORKING,HAMLET,MODEST,2,30.91927,-95.171737,R04,Rivergrass,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,1702.1,14.9,744.7,763.6,287.4,,2,POI-044 | POI-070,RIVER | RAPIDS,Waterfall River | Waterfall River Rapids,POI-044 [RIVER] Waterfall River; POI-070 [RAPIDS] Waterfall River Rapids,Region: Rivergrass || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST || POIs: POI-044 [RIVER] Waterfall River; POI-070 [RAPIDS] Waterfall River Rapids,,,
SITE-028,,WORKING,HAMLET,FRONTIER,1,58.522775,-106.093649,R04,Rivergrass,Northwestern,COASTAL_LAND,ALPINE_MOUNTAIN,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,3162.6,9.7,485.3,1743.1,118.7,,1,POI-018,MOUNTAIN_RANGE,Northwestern Spine Range,POI-018 [MOUNTAIN_RANGE] Northwestern Spine Range,Region: Rivergrass || Continent: Northwestern || Class: Hamlet || Biome: Alpine Mountain || Broad: COASTAL | MOUNTAIN || Specific: ALPINE | ESTUARY | PLATEAU || POIs: POI-018 [MOUNTAIN_RANGE] Northwestern Spine Range,,,
SITE-029,Crest Haven,CANONICAL,METROPOLIS,METROPOLIS,7,28.255597,-83.267442,R05,Shadowspine,Northwestern,LAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | GENERALIST | MOUNTAIN,ALPINE | CASTLE | CITY | FOREST_FLOOR | GENERALIST | PLATEAU | ROAD | VILLAGE | WOODLAND | WORKSHOP,2067.3,2139.7,1603.9,385.6,257.9,,1,POI-006,GREAT_PIT,Great Pit,POI-006 [GREAT_PIT] Great Pit,Region: Shadowspine || Continent: Northwestern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | GENERALIST | MOUNTAIN || Specific: ALPINE | CASTLE | CITY | FOREST_FLOOR | GENERALIST | PLATEAU | ROAD | VILLAGE | WOODLAND | WORKSHOP || POIs: POI-006 [GREAT_PIT] Great Pit,,,
SITE-030,,WORKING,CITY,PRIME,6,37.227563,-137.359388,R05,Shadowspine,Northwestern,COASTAL_LAND,OCEAN,COASTAL,ESTUARY,0.0,7.1,3123.9,4441.7,1596.3,,0,,,,,Region: Shadowspine || Continent: Northwestern || Class: City || Biome: Ocean || Broad: COASTAL || Specific: ESTUARY,,,
SITE-031,,WORKING,TOWN,MAJOR,5,20.941213,-57.870347,R05,Shadowspine,Northwestern,LAND,GRASSLAND_STEPPE,GRASSLAND,FARMLAND | MEADOW | PRAIRIE | SOIL | STEPPE,177.2,334.5,2962.9,1976.7,2081.7,,0,,,,,Region: Shadowspine || Continent: Northwestern || Class: Town || Biome: Grassland Steppe || Broad: GRASSLAND || Specific: FARMLAND | MEADOW | PRAIRIE | SOIL | STEPPE,,,
SITE-032,,WORKING,VILLAGE,STRONG,4,21.654024,-32.893962,R05,Shadowspine,Northwestern,COASTAL_LAND,GRASSLAND_STEPPE,COASTAL | GRASSLAND,ESTUARY | ISLAND | STEPPE,42.6,30.3,3602.8,3907.6,4395.9,,2,POI-080 | POI-089,ISLAND | SEA,Highcourt Isle | Meridian Sea,POI-080 [ISLAND] Highcourt Isle; POI-089 [SEA] Meridian Sea,Region: Shadowspine || Continent: Northwestern || Class: Village || Biome: Grassland Steppe || Broad: COASTAL | GRASSLAND || Specific: ESTUARY | ISLAND | STEPPE || POIs: POI-080 [ISLAND] Highcourt Isle; POI-089 [SEA] Meridian Sea,,,
SITE-033,,WORKING,HAMLET,GOOD,3,19.105889,-103.329428,R05,Shadowspine,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,565.8,124.2,1205.1,2245.7,1205.5,,0,,,,,Region: Shadowspine || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-034,,WORKING,HAMLET,MODEST,2,28.055458,-124.220284,R05,Shadowspine,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,200.8,297.9,2065.2,3345.2,2040.4,,0,,,,,Region: Shadowspine || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-035,,WORKING,HAMLET,FRONTIER,1,35.141461,-101.544619,R05,Shadowspine,Northwestern,COASTAL_LAND,ALPINE_MOUNTAIN,COASTAL | MOUNTAIN,ALPINE | ESTUARY | PLATEAU,3202.8,4.4,232.1,1026.1,155.2,,2,POI-001 | POI-021,WATERFALL | PEAK,Visible Major Waterfall | Southern Spine Peak,POI-001 [WATERFALL] Visible Major Waterfall; POI-021 [PEAK] Southern Spine Peak,Region: Shadowspine || Continent: Northwestern || Class: Hamlet || Biome: Alpine Mountain || Broad: COASTAL | MOUNTAIN || Specific: ALPINE | ESTUARY | PLATEAU || POIs: POI-001 [WATERFALL] Visible Major Waterfall; POI-021 [PEAK] Southern Spine Peak,,,
SITE-036,Ascendancy,CANONICAL,METROPOLIS,METROPOLIS,7,20.360822,-32.076454,R06,Highcourt,Northwestern,FLOATING_ISLAND,TEMPERATE_DENSE_FOREST,BUILT_ENVIRONMENT | FOREST | GENERALIST,CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,33.6,27.8,3774.6,4040.6,4500.3,ISLAND-0002,0,,,,,Region: Highcourt || Continent: Northwestern || Class: Metropolis || Biome: Temperate Dense Forest || Broad: BUILT_ENVIRONMENT | FOREST | GENERALIST || Specific: CASTLE | CITY | FOREST_FLOOR | GENERALIST | ISLAND | ROAD | VILLAGE | WOODLAND | WORKSHOP,,,
SITE-037,,WORKING,CITY,PRIME,6,28.973392,-44.474406,R06,Highcourt,Northwestern,LAND,GRASSLAND_STEPPE,GRASSLAND,STEPPE,190.3,215.9,2314.3,2578.2,3227.3,,0,,,,,Region: Highcourt || Continent: Northwestern || Class: City || Biome: Grassland Steppe || Broad: GRASSLAND || Specific: STEPPE,,,
SITE-038,,WORKING,TOWN,MAJOR,5,19.656237,-76.593417,R06,Highcourt,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,622.4,7.7,2645.3,1307.6,939.4,,0,,,,,Region: Highcourt || Continent: Northwestern || Class: Town || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST,,,
SITE-039,,WORKING,VILLAGE,STRONG,4,15.389925,-52.274391,R06,Highcourt,Northwestern,COASTAL_LAND,OCEAN,COASTAL,ESTUARY,0.0,0.8,3727.8,2839.8,2865.4,,0,,,,,Region: Highcourt || Continent: Northwestern || Class: Village || Biome: Ocean || Broad: COASTAL || Specific: ESTUARY,,,
SITE-040,,WORKING,HAMLET,GOOD,3,19.385756,-42.840608,R06,Highcourt,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,52.9,49.7,3414.2,3182.4,3516.0,,0,,,,,Region: Highcourt || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST,,,
SITE-041,,WORKING,HAMLET,MODEST,2,22.809119,-89.898424,R06,Highcourt,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,640.9,24.3,1451.6,1129.4,945.2,,2,POI-036 | POI-051,SHADOW_FOREST | FOREST,Highcourt Shadow Forest | Northwestern Shadowwood,POI-036 [SHADOW_FOREST] Highcourt Shadow Forest; POI-051 [FOREST] Northwestern Shadowwood,Region: Highcourt || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST || POIs: POI-036 [SHADOW_FOREST] Highcourt Shadow Forest; POI-051 [FOREST] Northwestern Shadowwood,,,
SITE-042,,WORKING,HAMLET,FRONTIER,1,15.553966,-84.93413,R06,Highcourt,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,429.3,11.0,2370.3,1893.7,1583.9,,0,,,,,Region: Highcourt || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST,,,
SITE-043,Sanguin Bay,CANONICAL,METROPOLIS,METROPOLIS,7,3.049856,-75.325975,R07,Duskcanopy,Northwestern,COASTAL_LAND,GRASSLAND_STEPPE,BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND,CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | STEPPE | VILLAGE | WORKSHOP,41.9,39.3,4155.9,3381.8,1455.9,ISLAND-0011,0,,,,,Region: Duskcanopy || Continent: Northwestern || Class: Metropolis || Biome: Grassland Steppe || Broad: BUILT_ENVIRONMENT | COASTAL | GENERALIST | GRASSLAND || Specific: CASTLE | CITY | ESTUARY | GENERALIST | ISLAND | ROAD | STEPPE | VILLAGE | WORKSHOP,,,
SITE-044,,WORKING,CITY,PRIME,6,20.277945,-92.210754,R07,Duskcanopy,Northwestern,LAND,SHADOW_FOREST,FOREST,FOREST_FLOOR | SHADOW_FOREST,506.9,161.5,1467.8,1490.7,1041.2,,1,POI-002,SHADOW_FOREST,Shadow Forest Heart,POI-002 [SHADOW_FOREST] Shadow Forest Heart,Region: Duskcanopy || Continent: Northwestern || Class: City || Biome: Shadow Forest || Broad: FOREST || Specific: FOREST_FLOOR | SHADOW_FOREST || POIs: POI-002 [SHADOW_FOREST] Shadow Forest Heart,,,
SITE-045,,WORKING,TOWN,MAJOR,5,15.953738,-65.824259,R07,Duskcanopy,Northwestern,LAND,GRASSLAND_STEPPE,GRASSLAND,STEPPE,67.5,46.2,3328.6,2098.3,1806.2,,2,POI-037 | POI-061,STEPPE | PLAINS,Northwestern Long Steppe | Northwestern Longplain,POI-037 [STEPPE] Northwestern Long Steppe; POI-061 [PLAINS] Northwestern Longplain,Region: Duskcanopy || Continent: Northwestern || Class: Town || Biome: Grassland Steppe || Broad: GRASSLAND || Specific: STEPPE || POIs: POI-037 [STEPPE] Northwestern Long Steppe; POI-061 [PLAINS] Northwestern Longplain,,,
SITE-046,,WORKING,VILLAGE,STRONG,4,3.1581,-100.336072,R07,Duskcanopy,Northwestern,COASTAL_LAND,OCEAN,COASTAL,ESTUARY | ISLAND,0.0,4.1,3202.7,3760.9,2333.8,,0,,,,,Region: Duskcanopy || Continent: Northwestern || Class: Village || Biome: Ocean || Broad: COASTAL || Specific: ESTUARY | ISLAND,,,
SITE-047,,WORKING,HAMLET,GOOD,3,7.476951,-88.222526,R07,Duskcanopy,Northwestern,LAND,TEMPERATE_DENSE_FOREST,FOREST,FOREST_FLOOR | WOODLAND,83.9,90.3,2992.3,2943.0,2050.6,,0,,,,,Region: Duskcanopy || Continent: Northwestern || Class: Hamlet || Biome: Temperate Dense Forest || Broad: FOREST || Specific: FOREST_FLOOR | WOODLAND,,,
SITE-048,,WORKING,HAMLET,MODEST,2,14.603792,-78.255325,R07,Duskcanopy,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,413.8,23.2,2939.5,1918.9,1548.0,,0,,,,,Region: Duskcanopy || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST,,,
SITE-049,,WORKING,HAMLET,FRONTIER,1,14.629306,-102.811888,R07,Duskcanopy,Northwestern,COASTAL_LAND,SHADOW_FOREST,COASTAL | FOREST,ESTUARY | FOREST_FLOOR | SHADOW_FOREST,351.0,5.9,1750.7,2613.7,1689.4,,0,,,,,Region: Duskcanopy || Continent: Northwestern || Class: Hamlet || Biome: Shadow Forest || Broad: COASTAL | FOREST || Specific: ESTUARY | FOREST_FLOOR | SHADOW_FOREST,,,
