journalEntryId,batchId,targetUnitId,targetField,timestamp,query,searchResultChosen,actualOpenedUrl,sourceOpened,accepted,rejectionReason,title,organization,publisher,locator,boundedContext,sourceFact
JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,R01_B01,SPC_ANHIMA_CORNUTA,terrainBroad,2026-08-19T18:08:00Z,site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,true,,Anhima cornuta (horned screamer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,"Horned screamers live around freshwater lakes, ponds, rivers, marshes, and swamps in open tropical country.","Natural habitat spans freshwater, wetland, and grassland."
JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANHIMA_CORNUTA,terrainSpecific,2026-08-19T18:08:00Z,site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,true,,Anhima cornuta (horned screamer),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,Habitat,"The account names lakes, ponds, rivers, marshes, swamps, and savanna-like open habitat.","Specific habitats include lake, pond, river, marsh, swamp, and savanna."
JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,R01_B01,SPC_ANHINGA_ANHINGA,personalityId,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,true,,Anhinga anhinga (anhinga),University of Michigan Museum of Zoology,Animal Diversity Web,Reproduction and parental investment,"The exact-species account reports shared incubation and a ritualized mate exchange involving vocalizing, neck-stretching, and nest material.",Anhinga parents share and ritualize incubation duty at the nest.
JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_BROAD_001,R01_B01,SPC_ANHINGA_ANHINGA,terrainBroad,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,true,,Anhinga anhinga (anhinga),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,The account identifies freshwater and coastal aquatic habitat with wooded shores or islands.,"Anhingas use freshwater, wetland, and coastal aquatic systems."
JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANHINGA_ANHINGA,terrainSpecific,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,true,,Anhinga anhinga (anhinga),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"Named habitats include lakes, marshes, swamps, mangrove swamps, shallow coastal bays, and lagoons.","Lake, marsh, swamp, mangrove, and estuarine settings are supported exact habitats."
JRN_R01_B01_SPC_ANSER_ANSER_PERSONALITY_001,R01_B01,SPC_ANSER_ANSER,personalityId,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,true,,Anser anser (greylag goose),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior,The account describes sociable family-to-thousand-bird groups that fly in V-patterns during long-distance travel.,Greylag geese synchronize movement in social V-formations.
JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_BROAD_001,R01_B01,SPC_ANSER_ANSER,terrainBroad,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,true,,Anser anser (greylag goose),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,Breeding and nonbreeding habitat includes lowland freshwater and salt-water wetland systems.,Greylag geese use wetland and coastal systems.
JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANSER_ANSER,terrainSpecific,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,true,,Anser anser (greylag goose),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The account specifically names marshes, fens, offshore islands, and estuaries.","Marsh, swamp/fen, island, and estuary habitats are supported."
JRN_R01_B01_SPC_ANSER_CANAGICUS_PERSONALITY_001,R01_B01,SPC_ANSER_CANAGICUS,personalityId,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,true,,Anser canagicus (Emperor goose),University of Michigan Museum of Zoology,Animal Diversity Web,Communication and Perception,The species account explicitly describes emperor geese as much less vocal than most other geese.,Emperor geese characteristically use relatively sparse vocal signaling.
JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_BROAD_001,R01_B01,SPC_ANSER_CANAGICUS,terrainBroad,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,true,,Anser canagicus (Emperor goose),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior and Food Habits,The account places wintering birds on Aleutian and Commander islands and describes intertidal foraging.,Emperor geese depend on coastal island and intertidal habitat.
JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANSER_CANAGICUS,terrainSpecific,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,true,,Anser canagicus (Emperor goose),University of Michigan Museum of Zoology,Animal Diversity Web,Food Habits,The account reports intertidal feeding and a foot-stamping foraging method on mud flats.,Mudflats and coastal islands are exact supported habitat settings.
JRN_R01_B01_SPC_ANSER_INDICUS_PERSONALITY_001,R01_B01,SPC_ANSER_INDICUS,personalityId,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_indicus Anser indicus habitat behavior,Anser indicus (bar-headed goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true,true,,Anser indicus (bar-headed goose),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior and Communication,Migrating groups maintain V-shaped spacing and rotate the lead position to reduce individual drag.,Bar-headed geese synchronize formation movement and rotate leadership during migration.
JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_BROAD_001,R01_B01,SPC_ANSER_INDICUS,terrainBroad,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_indicus Anser indicus habitat behavior,Anser indicus (bar-headed goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true,true,,Anser indicus (bar-headed goose),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior and Food Habits,The account places breeding on the high-elevation Tibetan-Qinghai Plateau around highland lakes and streams.,Bar-headed geese use mountain and freshwater systems for breeding.
JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANSER_INDICUS,terrainSpecific,2026-08-19T17:52:49Z,site:animaldiversity.org/accounts/Anser_indicus Anser indicus habitat behavior,Anser indicus (bar-headed goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true,true,,Anser indicus (bar-headed goose),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior and Food Habits,"Ground nests occur at high elevation, with feeding on highland grasses around lakes and streams.","Alpine, lake, and river settings are directly supported."
JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_PERSONALITY_001,R01_B01,SPC_ANTHROPOIDES_VIRGO,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Anthropoides_virgo Anthropoides virgo habitat behavior,Anthropoides virgo (demoiselle crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anthropoides_virgo/,true,true,,Anthropoides virgo (demoiselle crane),University of Michigan Museum of Zoology,Animal Diversity Web,Communication and Perception,"The exact-species account documents an extensive repertoire of contact, guard, alarm, flight-intention, and pair calls.",Demoiselle cranes use varied vocal expression for social coordination.
JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_TERRAIN_BROAD_001,R01_B01,SPC_ANTHROPOIDES_VIRGO,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Anthropoides_virgo Anthropoides virgo habitat behavior,Anthropoides virgo (demoiselle crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anthropoides_virgo/,true,true,,Anthropoides virgo (demoiselle crane),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The account places the species in open uplands spanning grassland, semi-arid savanna, steppe, plateau, and semi-desert.","Demoiselle cranes use grassland, mountain/upland, and desert systems near water."
JRN_R01_B01_SPC_ANTHROPOIDES_VIRGO_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANTHROPOIDES_VIRGO,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Anthropoides_virgo Anthropoides virgo habitat behavior,Anthropoides virgo (demoiselle crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anthropoides_virgo/,true,true,,Anthropoides virgo (demoiselle crane),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"Specific supported settings are savannas, steppes, high plateaus, semi-deserts, and riparian areas.","Savanna, steppe, plateau, and river-edge terrain are supported."
JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_PERSONALITY_001,R01_B01,SPC_ANTIGONE_ANTIGONE,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Antigone_antigone Antigone antigone habitat behavior,Grus antigone (Sarus crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_antigone/,true,true,,Grus antigone (Sarus crane),University of Michigan Museum of Zoology,Animal Diversity Web,"Reproduction, lines 90-119",Pairs build large wetland nests; both parents feed and care for fledglings through an extended juvenile period.,Sarus crane pairs share sustained nest and fledgling duty.
JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_TERRAIN_BROAD_001,R01_B01,SPC_ANTIGONE_ANTIGONE,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Antigone_antigone Antigone antigone habitat behavior,Grus antigone (Sarus crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_antigone/,true,true,,Grus antigone (Sarus crane),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 48-61",The exact-species account centers low natural wetlands and also identifies savanna or grassland habitat.,Sarus cranes use wetland and grassland systems.
JRN_R01_B01_SPC_ANTIGONE_ANTIGONE_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANTIGONE_ANTIGONE,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Antigone_antigone Antigone antigone habitat behavior,Grus antigone (Sarus crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_antigone/,true,true,,Grus antigone (Sarus crane),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 48-61","The account names low wetlands, marsh, and savanna/grassland; flooded rice paddies are treated as secondary adaptation.",Marsh and savanna are supported natural terrain tokens.
JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_PERSONALITY_001,R01_B01,SPC_ANTIGONE_CANADENSIS,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Grus_canadensis sandhill crane habitat behavior,Grus canadensis (sandhill crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_canadensis/,true,true,,Grus canadensis (sandhill crane),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior,Family groups combine into survival groups that feed and roost together during migration and winter.,Sandhill cranes form cooperative survival groups for feeding and roosting.
JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_TERRAIN_BROAD_001,R01_B01,SPC_ANTIGONE_CANADENSIS,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Grus_canadensis sandhill crane habitat behavior,Grus canadensis (sandhill crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_canadensis/,true,true,,Grus canadensis (sandhill crane),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,Most populations nest in open wet grasslands and freshwater wetlands.,Sandhill cranes use grassland and wetland systems.
JRN_R01_B01_SPC_ANTIGONE_CANADENSIS_TERRAIN_SPECIFIC_001,R01_B01,SPC_ANTIGONE_CANADENSIS,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Grus_canadensis sandhill crane habitat behavior,Grus canadensis (sandhill crane) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Grus_canadensis/,true,true,,Grus canadensis (sandhill crane),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The account specifically names wet meadows, freshwater marshes, and bogs.","Meadow, marsh, and bog are directly supported terrain tokens."
JRN_R01_B01_SPC_APTENODYTES_FORSTERI_PERSONALITY_001,R01_B01,SPC_APTENODYTES_FORSTERI,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_forsteri Aptenodytes forsteri habitat behavior,Aptenodytes forsteri (emperor penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_forsteri/,true,true,,Aptenodytes forsteri (emperor penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Food Habits,The exact-species account reports observations of groups coordinating dives and hunting cooperatively.,Emperor penguins coordinate group dives and cooperative hunts.
JRN_R01_B01_SPC_APTENODYTES_FORSTERI_TERRAIN_BROAD_001,R01_B01,SPC_APTENODYTES_FORSTERI,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_forsteri Aptenodytes forsteri habitat behavior,Aptenodytes forsteri (emperor penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_forsteri/,true,true,,Aptenodytes forsteri (emperor penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The species is exclusively Antarctic, breeding on coastal fast ice and foraging in open ocean among seasonal pack ice.","Emperor penguins use polar ice, coastal, and ocean systems."
JRN_R01_B01_SPC_APTENODYTES_FORSTERI_TERRAIN_SPECIFIC_001,R01_B01,SPC_APTENODYTES_FORSTERI,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_forsteri Aptenodytes forsteri habitat behavior,Aptenodytes forsteri (emperor penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_forsteri/,true,true,,Aptenodytes forsteri (emperor penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"Dense stable fast ice, seasonal pack ice, ice shelves, and open sea are all named habitat components.","Pack ice, glacier/ice-shelf, and pelagic terrain are supported."
JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_PERSONALITY_001,R01_B01,SPC_APTENODYTES_PATAGONICUS,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_patagonicus king penguin habitat behavior,Aptenodytes patagonicus (king penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_patagonicus/,true,true,,Aptenodytes patagonicus (king penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior,Colonies huddle during blizzards and form communal chick crèches for protection while both parents forage.,King penguins use collective huddles and crèches for group protection.
JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_TERRAIN_BROAD_001,R01_B01,SPC_APTENODYTES_PATAGONICUS,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_patagonicus king penguin habitat behavior,Aptenodytes patagonicus (king penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_patagonicus/,true,true,,Aptenodytes patagonicus (king penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"Primary habitat is sparsely vegetated sub-Antarctic islands, with extensive feeding in southern-ocean waters.","King penguins use coastal island, polar, and ocean systems."
JRN_R01_B01_SPC_APTENODYTES_PATAGONICUS_TERRAIN_SPECIFIC_001,R01_B01,SPC_APTENODYTES_PATAGONICUS,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Aptenodytes_patagonicus king penguin habitat behavior,Aptenodytes patagonicus (king penguin) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Aptenodytes_patagonicus/,true,true,,Aptenodytes patagonicus (king penguin),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The account identifies sub-Antarctic islands, tundra conditions, and pelagic feeding waters.","Island, tundra, and pelagic terrain are supported."
JRN_R01_B01_SPC_ARDEA_ALBA_PERSONALITY_001,R01_B01,SPC_ARDEA_ALBA,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_alba great egret habitat behavior,Ardea alba (great egret) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_alba/,true,true,,Ardea alba (great egret),University of Michigan Museum of Zoology,Animal Diversity Web,"Food Habits, lines 189-192",Studies in the account report greater intermediate-size prey intake while standing still than while moving.,Great egrets use stationary patience as an effective hunting strategy.
JRN_R01_B01_SPC_ARDEA_ALBA_TERRAIN_BROAD_001,R01_B01,SPC_ARDEA_ALBA,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_alba great egret habitat behavior,Ardea alba (great egret) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_alba/,true,true,,Ardea alba (great egret),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 47-69","The account identifies freshwater, saltwater, coastal, and wooded wetland habitat.","Great egrets use freshwater, wetland, and coastal systems."
JRN_R01_B01_SPC_ARDEA_ALBA_TERRAIN_SPECIFIC_001,R01_B01,SPC_ARDEA_ALBA,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_alba great egret habitat behavior,Ardea alba (great egret) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_alba/,true,true,,Ardea alba (great egret),University of Michigan Museum of Zoology,Animal Diversity Web,"Habitat, lines 47-69","Streams, lakes, ponds, mud flats, marshes, wooded swamps, bogs, and estuaries are named.","River, lake, pond, mudflat, marsh, swamp, bog, and estuary tokens are supported."
JRN_R01_B01_SPC_ARDEA_HERODIAS_PERSONALITY_001,R01_B01,SPC_ARDEA_HERODIAS,personalityId,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_herodias great blue heron habitat behavior,Ardea herodias (great blue heron) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_herodias/,true,true,,Ardea herodias (great blue heron),University of Michigan Museum of Zoology,Animal Diversity Web,Behavior,The exact-species account characterizes great blue herons as solitary stalk-and-strike hunters.,Great blue herons practice patient stalking before striking prey.
JRN_R01_B01_SPC_ARDEA_HERODIAS_TERRAIN_BROAD_001,R01_B01,SPC_ARDEA_HERODIAS,terrainBroad,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_herodias great blue heron habitat behavior,Ardea herodias (great blue heron) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_herodias/,true,true,,Ardea herodias (great blue heron),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"The species lives near freshwater, wetland, and saltwater coastal sources.","Great blue herons use freshwater, wetland, and coastal systems."
JRN_R01_B01_SPC_ARDEA_HERODIAS_TERRAIN_SPECIFIC_001,R01_B01,SPC_ARDEA_HERODIAS,terrainSpecific,2026-08-19T17:54:48Z,site:animaldiversity.org/accounts/Ardea_herodias great blue heron habitat behavior,Ardea herodias (great blue heron) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Ardea_herodias/,true,true,,Ardea herodias (great blue heron),University of Michigan Museum of Zoology,Animal Diversity Web,Habitat,"Rivers, lake edges, marshes, saltwater seacoasts, and swamps are explicitly named.","River, lake, marsh, and swamp terrain tokens are supported."
JRN_R01_B01_SPC_ARDENNA_GRISEA_PERSONALITY_001,R01_B01,SPC_ARDENNA_GRISEA,personalityId,2026-08-19T17:57:32Z,Ardenna grisea habitat behavior BirdLife sooty shearwater,Sooty Shearwater Overview | Cornell Lab of Ornithology,https://www.allaboutbirds.org/guide/Sooty_Shearwater/overview,true,true,,Sooty Shearwater Overview,Cornell Lab of Ornithology,All About Birds,Basic Description,"The exact-species account describes a roughly 40,000-mile figure-eight annual migration between hemispheres.",Sooty shearwaters execute an extensive recurring migration route.
JRN_R01_B01_SPC_ARDENNA_GRISEA_TERRAIN_BROAD_001,R01_B01,SPC_ARDENNA_GRISEA,terrainBroad,2026-08-19T17:57:32Z,Ardenna grisea habitat behavior BirdLife sooty shearwater,Sooty Shearwater Overview | Cornell Lab of Ornithology,https://www.allaboutbirds.org/guide/Sooty_Shearwater/overview,true,true,,Sooty Shearwater Overview,Cornell Lab of Ornithology,All About Birds,Species summary fields,"Cornell classifies habitat as oceans and nesting as burrow, with Southern Hemisphere breeding.",Sooty shearwaters use ocean habitat and subterranean nesting burrows.
