policyRef,personalityId,family,motivation,operatingStyle,structureOrientation,administrationMode,ownershipMode,allocationMode,legitimacyBasis,authoritySource,loquacity,emotionalTemperature,outlookOrientation,collaborativePosture,overriddenFields
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_UNFIXED_FORM_CONFLICT,AMBIGUITY,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_CONTAINED_FURY_CONFLICT,ANGER,SELFISH,SOLO,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,MARTIAL,ELECTION,TO_THE_POINT,COMPOSED,PESSIMISTIC,JUST_ENOUGH,emotionalTemperature
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_PUNISHED_ANGER_WOUND,ANGER,SELFISH,SOLO,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,MARTIAL,ELECTION,TO_THE_POINT,IRRITABLE,PESSIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_RAGE_POWERED_CONFLICT,ANGER,SELFISH,SOLO,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,MARTIAL,ELECTION,TO_THE_POINT,IRRITABLE,PESSIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_THREAT_DISPLAY_EXPRESSION,ANGER,SELFISH,SOLO,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,MARTIAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,emotionalTemperature | loquacity | outlookOrientation
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_AMBUSH_FEEDING_EXPRESSION,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_EXTRACTION_WOUND,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,PESSIMISTIC,WITHHOLDING,outlookOrientation
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_FILTER_FEEDING_EXPRESSION,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_FORBIDDEN_FOOD_CONFLICT,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_GORGE_AND_FAST_EXPRESSION,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_GRAZING_EXPRESSION,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_HOST_DEPENDENCE_CONFLICT,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_PARASITIC_EXPRESSION,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_UNENDING_HUNGER_CONFLICT,APPETITE,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,ATTACHMENT_ANCHOR_PERSON_CONFLICT,ATTACHMENT,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,TALKATIVE,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,ATTACHMENT_FAMILY_SEPARATION_WOUND,ATTACHMENT,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,TALKATIVE,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,ATTACHMENT_LIFELONG_BOND_EXPRESSION,ATTACHMENT,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,TALKATIVE,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_ASSIMILATION_WOUND,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_CONTEXTUAL_FORM_EXPRESSION,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_INDIVIDUAL_SIGNATURE_EXPRESSION,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_MADE_PURPOSE_CONFLICT,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_MASK_FUSION_CONFLICT,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TO_THE_POINT,JOYFUL,NEUTRAL,WITHHOLDING,loquacity
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_PURITY_TEST_WOUND,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHENTICITY_SHAPE_WITHOUT_SELF_CONFLICT,AUTHENTICITY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHORITY_ABUSIVE_RULE_WOUND,AUTHORITY,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHORITY_ORDAINED_RANK_CONFLICT,AUTHORITY,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHORITY_REPRODUCTIVE_LEADER_EXPRESSION,AUTHORITY,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTHORITY_STEWARD_OR_OWNER_CONFLICT,AUTHORITY,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_DEPENDENCY_TOLERANT_EXPRESSION,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_ENSLAVEMENT_WOUND,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_FREEDOM_THROUGH_ISOLATION_CONFLICT,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_PAIRING_CHOICE_EXPRESSION,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_PATERNAL_RULE_WOUND,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,AUTONOMY_POSSESSION_WITHIN_CONFLICT,AUTONOMY,SELFISH,SOLO,CHAOS,DISTRIBUTED,SINGLE_ENTITY,MARKET,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_COLONY_EXPRESSION,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_DISPLACEMENT_WOUND,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_HERDING_EXPRESSION,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_KINDLESS_CONFLICT,BELONGING,ALTRUISTIC,SOLO,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,WITHHOLDING,collaborativePosture | operatingStyle
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_MORTAL_LONGING_CONFLICT,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_THRESHOLD_KEEPER_CONFLICT,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BELONGING_TWO_WORLD_CONFLICT,BELONGING,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,BOUNDARIES_DOMAIN_BOUND_CONFLICT,BOUNDARIES,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,BOUNDARIES_LAND_BOUNDARY_WOUND,BOUNDARIES,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,BOUNDARIES_TERRITORIAL_MARKING_EXPRESSION,BOUNDARIES,SELFISH,SOLO,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_ABANDONMENT_WOUND,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,PESSIMISTIC,HELPFUL,outlookOrientation
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_CARRYING_EXPRESSION,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_CREATED_SERVANT_CONFLICT,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_PROVISIONING_EXPRESSION,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_SELECTIVE_NEGLECT_EXPRESSION,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CARE_UNIVERSAL_GUARDIAN_CONFLICT,CARE,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CHANGE_DEVELOPMENTAL_PLASTICITY_EXPRESSION,CHANGE,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CHANGE_FORM_SURRENDER_CONFLICT,CHANGE,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CHANGE_MIGRATION_CHANGE_WOUND,CHANGE,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CHANGE_MOLTING_EXPRESSION,CHANGE,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CHANGE_WORLD_ADAPTATION_CONFLICT,CHANGE,RECIPROCAL,SITUATIONAL,CHAOS,DISTRIBUTED,SHARED_TITLE,CUSTOMARY,ANCESTRAL,ELECTION,TALKATIVE,JOYFUL,OPTIMISTIC,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CLOSURE_OPEN_DOOR_CONFLICT,CLOSURE,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SHARED_TITLE,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CLOSURE_RAPID_CLASSIFICATION_EXPRESSION,CLOSURE,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SHARED_TITLE,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CLOSURE_UNRESOLVED_DISAPPEARANCE_WOUND,CLOSURE,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SHARED_TITLE,PLANNED,CHARTERED,APPOINTMENT,TO_THE_POINT,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,COLLECTIVE_MEMORY_LIVING_MEMORIAL_CONFLICT,COLLECTIVE_MEMORY,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,COLLECTIVE_MEMORY,ALTRUISTIC,TEAMWORK,ORDERED,DISTRIBUTED,COMMON_USE,CUSTOMARY,ANCESTRAL,ELECTION,LIGHT_BANTER,JOYFUL,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPASSION_INJURY_AID_EXPRESSION,COMPASSION,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPASSION_NECESSARY_HARM_CONFLICT,COMPASSION,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPASSION_RESCUE_CONTROL_WOUND,COMPASSION,ALTRUISTIC,TEAMWORK,NEUTRAL,DISTRIBUTED,COMMON_USE,PLANNED,ANCESTRAL,APPOINTMENT,LIGHT_BANTER,JOYFUL,OPTIMISTIC,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPETITION_COSMIC_TOURNAMENT_CONFLICT,COMPETITION,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,MARTIAL,DIVINE_MANDATE,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPETITION_MANUFACTURED_RIVALRY_WOUND,COMPETITION,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,MARTIAL,DIVINE_MANDATE,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPETITION_MATE_COMPETITION,COMPETITION,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,MARTIAL,DIVINE_MANDATE,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,COMPETITION_UNFAIR_GIFT_CONFLICT,COMPETITION,SELFISH,SOLO,NEUTRAL,DELEGATED,SINGLE_ENTITY,MARKET,MARTIAL,DIVINE_MANDATE,LIGHT_BANTER,JOYFUL,NEUTRAL,WITHHOLDING,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONFORMITY_ASSIMILATION_WOUND,CONFORMITY,RECIPROCAL,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONFORMITY_EMERGENCE_SYNCHRONY_EXPRESSION,CONFORMITY,RECIPROCAL,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONFORMITY_MOVEMENT_SYNCHRONY_EXPRESSION,CONFORMITY,RECIPROCAL,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONFORMITY_OBEDIENCE_NATURE_CONFLICT,CONFORMITY,RECIPROCAL,TEAMWORK,ORDERED,CENTRALIZED,COMMON_USE,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,HELPFUL,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONTROL_ADAPTIVE_SURRENDER_EXPRESSION,CONTROL,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONTROL_BINDING_RITUAL_CONFLICT,CONTROL,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONTROL_ENVIRONMENT_ENGINEERING_EXPRESSION,CONTROL,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,JUST_ENOUGH,
PERSONALITY_PROFILE_DIMENSIONS_V1,CONTROL_POWERLESSNESS_WOUND,CONTROL,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,PESSIMISTIC,JUST_ENOUGH,outlookOrientation
PERSONALITY_PROFILE_DIMENSIONS_V1,CONTROL_RESOURCE_CONTROL_EXPRESSION,CONTROL,RECIPROCAL,SITUATIONAL,ORDERED,CENTRALIZED,SINGLE_ENTITY,PLANNED,CHARTERED,APPOINTMENT,LIGHT_BANTER,COMPOSED,NEUTRAL,JUST_ENOUGH,
