researchUnitId,unitType,populationKind,initialRegion,groupIds,breedIds,personalityId,terrainBroad,terrainSpecific,status,evidenceRefs,inheritedBreedCount,inheritedBreedIds
CLT_ANISHINAABE,HUMAN_CULTURE,HUMAN,R01,H02,BRD_HUMAN_ANISHINAABE_ANISHINAABE,LAND_REMOVAL_WOUND,FRESHWATER | COASTAL,LAKE | DUNES | ISLAND,SIMULATION_READY,EVD_JRN_R01_B02_CLT_ANISHINAABE_PERSONALITY_ID_001 | EVD_JRN_R01_B02_CLT_ANISHINAABE_TERRAIN_BROAD_001 | EVD_JRN_R01_B02_CLT_ANISHINAABE_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_ANISHINAABE_ANISHINAABE
CLT_ARABIAN_PENINSULA_ARAB,HUMAN_CULTURE,HUMAN,R13,H13,BRD_HUMAN_ARABIAN_PENINSULA_ARAB_ARABIAN_BEDOUIN | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_ASIRI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_BAHRANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_BEDOUIN | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_DHOFARI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_EMIRATI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_GULF_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_HADHRAMI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_HEJAZI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_KHUZESTANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_KUWAITI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_NAJDI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_OMANI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_OMANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_QATARI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_SOCOTRI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_YEMENI_ARAB | BRD_HUMAN_SAUDI,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,DESERT | FRESHWATER | BUILT_ENVIRONMENT,OASIS | FARMLAND | VILLAGE | CITY | HOT_DESERT,SIMULATION_READY,EVD_JRN_R13_B01_CLT_ARABIAN_PENINSULA_ARAB_PERSONALITY_ID_001 | EVD_JRN_R13_B01_CLT_ARABIAN_PENINSULA_ARAB_TERRAIN_BROAD_001 | EVD_JRN_R13_B01_CLT_ARABIAN_PENINSULA_ARAB_TERRAIN_SPECIFIC_001,18,BRD_HUMAN_ARABIAN_PENINSULA_ARAB_ARABIAN_BEDOUIN | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_ASIRI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_BAHRANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_BEDOUIN | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_DHOFARI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_EMIRATI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_GULF_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_HADHRAMI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_HEJAZI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_KHUZESTANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_KUWAITI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_NAJDI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_OMANI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_OMANI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_QATARI_ARAB | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_SOCOTRI | BRD_HUMAN_ARABIAN_PENINSULA_ARAB_YEMENI_ARAB | BRD_HUMAN_SAUDI
CLT_ASSYRIAN_SYRIAC,HUMAN_CULTURE,HUMAN,R13,H13,BRD_HUMAN_ASSYRIAN_SYRIAC_ASSYRIAN_ARMENIAN | BRD_HUMAN_ASSYRIAN_SYRIAC_ASSYRIAN_SYRIAC | BRD_HUMAN_ASSYRIAN_SYRIAC_MARONITE_SYRIAC,COLLECTIVE_MEMORY_LIVING_MEMORIAL_CONFLICT,MOUNTAIN | GRASSLAND | BUILT_ENVIRONMENT,PLATEAU | VILLAGE | TEMPLE | FARMLAND,SIMULATION_READY,EVD_JRN_R13_B01_CLT_ASSYRIAN_SYRIAC_PERSONALITY_ID_001 | EVD_JRN_R13_B01_CLT_ASSYRIAN_SYRIAC_TERRAIN_BROAD_001 | EVD_JRN_R13_B01_CLT_ASSYRIAN_SYRIAC_TERRAIN_SPECIFIC_001,3,BRD_HUMAN_ASSYRIAN_SYRIAC_ASSYRIAN_ARMENIAN | BRD_HUMAN_ASSYRIAN_SYRIAC_ASSYRIAN_SYRIAC | BRD_HUMAN_ASSYRIAN_SYRIAC_MARONITE_SYRIAC
CLT_ATLANTIS,HUMAN_CULTURE,HUMAN,R21,H07,BRD_HUMAN_ATLANTIS_ATLANTIS,CONTROL_ENVIRONMENT_ENGINEERING_EXPRESSION,OCEAN | COASTAL | FRESHWATER | MOUNTAIN | BUILT_ENVIRONMENT,ISLAND | CITY | TEMPLE | PLATEAU | FARMLAND,SIMULATION_READY,EVD_JRN_R21_B01_CLT_ATLANTIS_PERSONALITY_ID_001 | EVD_JRN_R21_B01_CLT_ATLANTIS_TERRAIN_BROAD_001 | EVD_JRN_R21_B01_CLT_ATLANTIS_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_ATLANTIS_ATLANTIS
CLT_AVALON,HUMAN_CULTURE,HUMAN,R21,H07,BRD_HUMAN_AVALON_AVALON | BRD_HUMAN_AVALON_CORNISH,COMPASSION_INJURY_AID_EXPRESSION,COASTAL | FOREST | GRASSLAND,ISLAND | WOODLAND | FARMLAND,SIMULATION_READY,EVD_JRN_R21_B01_CLT_AVALON_PERSONALITY_ID_001 | EVD_JRN_R21_B01_CLT_AVALON_TERRAIN_BROAD_001 | EVD_JRN_R21_B01_CLT_AVALON_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_AVALON_AVALON | BRD_HUMAN_AVALON_CORNISH
CLT_AYMARA_TIWANAKU,HUMAN_CULTURE,HUMAN,R23,H19,BRD_HUMAN_AYMARA_TIWANAKU_AYMARA | BRD_HUMAN_AYMARA_TIWANAKU_TIWANAKU,CONTROL_ENVIRONMENT_ENGINEERING_EXPRESSION,MOUNTAIN | GRASSLAND | FRESHWATER | BUILT_ENVIRONMENT,PLATEAU | ALPINE | LAKE | FARMLAND | VILLAGE,SIMULATION_READY,EVD_JRN_R23_B01_CLT_AYMARA_TIWANAKU_PERSONALITY_ID_001 | EVD_JRN_R23_B01_CLT_AYMARA_TIWANAKU_TERRAIN_BROAD_001 | EVD_JRN_R23_B01_CLT_AYMARA_TIWANAKU_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_AYMARA_TIWANAKU_AYMARA | BRD_HUMAN_AYMARA_TIWANAKU_TIWANAKU
CLT_BALINESE,HUMAN_CULTURE,HUMAN,R16,H15,BRD_HUMAN_BALINESE_BALINESE,CONTROL_ENVIRONMENT_ENGINEERING_EXPRESSION,MOUNTAIN | FOREST | FRESHWATER | BUILT_ENVIRONMENT,VOLCANIC | MONTANE_FOREST | RIVER | FARMLAND | TEMPLE | VILLAGE,SIMULATION_READY,EVD_JRN_R16_B01_CLT_BALINESE_PERSONALITY_ID_001 | EVD_JRN_R16_B01_CLT_BALINESE_TERRAIN_BROAD_001 | EVD_JRN_R16_B01_CLT_BALINESE_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_BALINESE_BALINESE
CLT_BALTIC,HUMAN_CULTURE,HUMAN,R07,H21,BRD_HUMAN_BALTIC_LATVIAN | BRD_HUMAN_BALTIC_LITHUANIAN,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,BUILT_ENVIRONMENT,CITY,SIMULATION_READY,EVD_JRN_R07_B01_CLT_BALTIC_PERSONALITY_ID_001 | EVD_JRN_R07_B01_CLT_BALTIC_TERRAIN_BROAD_001 | EVD_JRN_R07_B01_CLT_BALTIC_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_BALTIC_LATVIAN | BRD_HUMAN_BALTIC_LITHUANIAN
CLT_BASQUE,HUMAN_CULTURE,HUMAN,R07,H21,BRD_HUMAN_BASQUE_BASQUE,EXPRESSION_VOCAL_EXPRESSION,MOUNTAIN,ALPINE,SIMULATION_READY,EVD_JRN_R07_B01_CLT_BASQUE_PERSONALITY_ID_001 | EVD_JRN_R07_B01_CLT_BASQUE_TERRAIN_BROAD_001 | EVD_JRN_R07_B01_CLT_BASQUE_TERRAIN_SPECIFIC_001,1,BRD_HUMAN_BASQUE_BASQUE
CLT_BENGALI,HUMAN_CULTURE,HUMAN,R15,H20,BRD_HUMAN_BANGLADESHI | BRD_HUMAN_BENGALI_BENGALI,COLLECTIVE_MEMORY_TECHNIQUE_TRADITION,WETLAND | FRESHWATER | COASTAL | BUILT_ENVIRONMENT,DELTA | RIVER | FLOODPLAIN | CITY,SIMULATION_READY,EVD_JRN_R15_B01_CLT_BENGALI_PERSONALITY_ID_001 | EVD_JRN_R15_B01_CLT_BENGALI_TERRAIN_BROAD_001 | EVD_JRN_R15_B01_CLT_BENGALI_TERRAIN_SPECIFIC_001,2,BRD_HUMAN_BANGLADESHI | BRD_HUMAN_BENGALI_BENGALI
CLT_CARIBBEAN_INDIGENOUS_TAINO,HUMAN_CULTURE,HUMAN,R24,H16,BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_ARAWAK_CARIB | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_BRIBRI_CABECAR | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_GUNA_EMBERA | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_MISKITO | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_TAINO,STEWARDSHIP_FUTURE_SIGHT_CONFLICT,COASTAL | FOREST | SUBTERRANEAN | BUILT_ENVIRONMENT | GRASSLAND,ISLAND | CAVE | VILLAGE | FARMLAND | RAIN_FOREST,SIMULATION_READY,EVD_JRN_R24_B01_CLT_CARIBBEAN_INDIGENOUS_TAINO_PERSONALITY_ID_001 | EVD_JRN_R24_B01_CLT_CARIBBEAN_INDIGENOUS_TAINO_TERRAIN_BROAD_001 | EVD_JRN_R24_B01_CLT_CARIBBEAN_INDIGENOUS_TAINO_TERRAIN_SPECIFIC_001,5,BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_ARAWAK_CARIB | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_BRIBRI_CABECAR | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_GUNA_EMBERA | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_MISKITO | BRD_HUMAN_CARIBBEAN_INDIGENOUS_TAINO_TAINO
