sourceId,title,authorOrOrganization,publisher,stableUrlOrIdentifier,sourceOpened
SRC_R01_B01_043,Phocoena phocoena (harbor porpoise),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Phocoena_phocoena/,true
SRC_R01_B01_044,Anser anser (greylag goose),University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true
SRC_R01_B01_045,"Pelecanus conspicillatus, Australian Pelican",Museums Victoria,Museums Victoria,https://collections.museumsvictoria.com.au/species/8260,true
SRC_R01_B01_046,Bowhead Whale: Western Arctic Stock,Alaska Fisheries Science Center,NOAA Fisheries,https://media.fisheries.noaa.gov/dam-migration/ak2012_bowhead508.pdf,true
SRC_R01_B01_047,Long in the tooth: Biological observations from at-sea sightings of strap-toothed beaked whales,NOAA Institutional Repository,National Oceanic and Atmospheric Administration,https://repository.library.noaa.gov/view/noaa/54370,true
SRC_R01_B01_048,Cochlearius cochlearius - Boat-billed Heron,University of the West Indies,University of the West Indies,https://sta.uwi.edu/fst/lifesciences/sites/default/files/lifesciences/documents/ogatt/Cochlearius_cochlearius%20-%20Boat-billed%20Heron_0.pdf,true
SRC_R01_B01_049,Atlantic Puffin Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Atlantic_Puffin/lifehistory,true
SRC_R01_B01_050,Brown Pelican,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Brown_Pelican/overview,true
SRC_R01_B01_051,Common Loon Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Common_Loon/lifehistory,true
SRC_R01_B01_052,Common Merganser Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Common_Merganser/lifehistory,true
SRC_R01_B01_053,Great Cormorant,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Great_Cormorant/,true
SRC_R01_B01_054,Hooded Merganser Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Hooded_Merganser/lifehistory,true
SRC_R01_B01_055,Northern Gannet Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Northern_Gannet/lifehistory,true
SRC_R01_B01_056,Rhinoceros Auklet Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Rhinoceros_Auklet/lifehistory,true
SRC_R01_B01_057,Sooty Shearwater Overview,Cornell Lab of Ornithology,All About Birds,https://www.allaboutbirds.org/guide/Sooty_Shearwater/overview,true
SRC_R01_B01_058,Whooping Crane Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Whooping_Crane/lifehistory,true
SRC_R01_B01_059,Snow petrel,Australian Antarctic Program,"Australian Antarctic Division, Australian Government",https://www.antarctica.gov.au/about-antarctica/animals/flying-birds/petrels-and-shearwaters/snow-petrel/,true
SRC_R01_B01_060,Common Ringed Plover,National Audubon Society,National Audubon Society,https://www.audubon.org/field-guide/bird/common-ringed-plover,true
SRC_R01_B01_061,Red-throated Loon,National Audubon Society,National Audubon Society,https://www.audubon.org/field-guide/bird/red-throated-loon,true
SRC_R01_B01_062,Yellow-billed Loon,National Audubon Society,National Audubon Society,https://www.audubon.org/field-guide/bird/yellow-billed-loon,true
SRC_R01_B01_063,Saddle-billed Stork,BirdLife South Africa,BirdLife South Africa,https://www.birdlife.org.za/red-list/saddle-billed-stork/,true
SRC_R01_B01_064,Saving East Asia’s Last Dalmatian Pelicans,BirdLife International,BirdLife International,https://www.birdlife.org/news/2024/01/11/saving-east-asias-last-dalmatian-pelicans/,true
SRC_R01_B01_065,Ivory Gull (Pagophila eburnea): COSEWIC assessment and status report 2023,Committee on the Status of Endangered Wildlife in Canada,Government of Canada,https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments-status-reports/ivory-gull-2023.html,true
SRC_R01_B01_066,5 Icebreakers About Bowhead Whales,Alaska Fisheries Science Center,NOAA Fisheries,https://www.fisheries.noaa.gov/alaska/outreach-and-education/5-icebreakers-about-bowhead-whales,true
SRC_R01_B01_067,Baird's Beaked Whale,Office of Protected Resources,NOAA Fisheries,https://www.fisheries.noaa.gov/species/bairds-beaked-whale?page=1,true
SRC_R01_B01_068,Blue Whale: Science,Office of Protected Resources,NOAA Fisheries,https://www.fisheries.noaa.gov/species/blue-whale/science?page=0,true
SRC_R01_B01_069,Bowhead Whale,Alaska Fisheries Science Center,NOAA Fisheries,https://www.fisheries.noaa.gov/species/bowhead-whale?page=2,true
SRC_R01_B01_070,Gray Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/gray-whale,true
SRC_R01_B01_071,Humpback Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/humpback-whale,true
SRC_R01_B01_072,Killer Whale: Science,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/killer-whale/science?page=0,true
SRC_R01_B01_073,Minke Whale,Office of Protected Resources,NOAA Fisheries,https://www.fisheries.noaa.gov/species/minke-whale?page=0,true
SRC_R01_B01_074,North Atlantic Right Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/north-atlantic-right-whale,true
SRC_R01_B01_075,Sex Role Reversal and High Frequency of Social Polyandry in the Pheasant-Tailed Jacana,Frontiers in Ecology and Evolution,Frontiers Media,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2021.742588/full,true
SRC_R01_B01_076,The World's Only Flightless Cormorant is Endemic to Galapagos,Galapagos Conservancy,Galapagos Conservancy,https://www.galapagos.org/newsroom/the-worlds-only-flightless-cormorant-is-endemic-to-the-galapagos/,true
SRC_R01_B01_077,Great White Pelican,The Maryland Zoo in Baltimore,The Maryland Zoo in Baltimore,https://www.marylandzoo.org/animal/great-white-pelican/,true
SRC_R01_B01_078,Blue petrel,New Zealand Birds Online,Te Papa and Ornithological Society of New Zealand,https://www.nzbirdsonline.org.nz/species/blue-petrel,true
SRC_R01_B01_079,Common diving petrel | Kuaka,New Zealand Birds Online,New Zealand Birds Online,https://www.nzbirdsonline.org.nz/species/common-diving-petrel,true
SRC_R01_B01_080,Southern giant petrel,New Zealand Birds Online,Te Papa and Ornithological Society of New Zealand,https://www.nzbirdsonline.org.nz/species/southern-giant-petrel,true
SRC_R01_B01_081,Eurasian Coot Bird Facts,Royal Society for the Protection of Birds,RSPB,https://www.rspb.org.uk/birds-and-wildlife/eurasian-coot,true
SRC_R01_B01_082,Priority Species Spotlight: Curlew,Royal Society for the Protection of Birds,RSPB,https://www.rspb.org.uk/helping-nature/what-we-do/protecting-species-and-habitats/species-spotlight/species-spotlight-curlew,true
SRC_R01_B02_001,The AML/UMTRA Department,Navajo Nation Abandoned Mine Lands Reclamation Department,Navajo Nation,https://aml.navajo-nsn.gov/,true
SRC_R01_B02_002,Phocoenoides dalli (Dall's porpoise),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Phocoenoides_dalli/,true
SRC_R01_B02_003,Phoeniconaias minor (lesser flamingo),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Phoeniconaias_minor/,true
SRC_R01_B02_004,Phoenicoparrus andinus (Andean flamingo),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Phoenicoparrus_andinus/,true
SRC_R01_B02_005,Platanista gangetica (Ganges river dolphin),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Platanista_gangetica/,true
SRC_R01_B02_006,Threskiornis aethiopicus (sacred ibis),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Threskiornis_aethiopicus/,true
SRC_R01_B02_007,Flamingo,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/flamingo,true
SRC_R01_B02_008,Taxon Profile: Pygoscelis papua papua papua,"Australian Antarctic Data Centre, Australian Antarctic Division",Commonwealth of Australia,https://data.aad.gov.au/aadc/biodiversity/taxon_profile.cfm?taxon_id=66969,true
SRC_R01_B02_009,Bare-throated Tiger-Heron,HeronConservation,HeronConservation,https://heronconservation.org/herons-of-the-world/list/bare-throated-tiger-heron/,true
SRC_R01_B02_010,The Clinton-Sullivan Campaign of 1779,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://home.nps.gov/articles/000/the-clinton-sullivan-campaign-of-1779.htm,true
SRC_R01_B02_011,Hopi Prisoners on the Rock,Hopi Cultural Preservation Office and National Park Service,"National Park Service, U.S. Department of the Interior",https://home.nps.gov/articles/hopi-prisoners-on-the-rock.htm,true
SRC_R01_B02_012,Emerald Mound,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://home.nps.gov/natr/learn/historyculture/emeraldmound.htm,true
SRC_R01_B02_013,Cambodia Ibis Working Group Annual Report 2022,Cambodia Ibis Working Group and NatureLife Cambodia,NatureLife Cambodia Organisation,https://naturelifecambodia.org/wp-content/uploads/2012/05/CIWG-Annual-Report-2022-Final.pdf,true
SRC_R01_B02_014,Blacksmith Lapwing (Vanellus armatus),Biodiversity and Development Institute,Biodiversity and Development Institute,https://thebdi.org/2023/06/28/blacksmith-lapwing-vanellus-armatus/,true
SRC_R01_B02_015,Black-browed Albatross Thalassarche melanophris Species Assessment,Agreement on the Conservation of Albatrosses and Petrels,ACAP,https://www.acap.aq/resources/acap-species/238-black-browed-albatross/file,true
SRC_R01_B02_016,Arctic Tern Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Arctic_Tern/lifehistory,true
SRC_R01_B02_017,Black Skimmer Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Black_Skimmer/lifehistory,true
SRC_R01_B02_018,Blue-footed Booby Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Blue-footed_Booby/lifehistory,true
SRC_R01_B02_019,Common Eider Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Common_Eider/lifehistory,true
SRC_R01_B02_020,Common Murre Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Common_Murre/lifehistory,true
SRC_R01_B02_021,Horned Grebe Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Horned_Grebe/lifehistory,true
SRC_R01_B02_022,Pied-billed Grebe Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Pied-billed_Grebe/lifehistory,true
SRC_R01_B02_023,Purple Gallinule Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Purple_Gallinule/lifehistory,true
SRC_R01_B02_024,Red-footed Booby Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Red-footed_Booby/lifehistory,true
SRC_R01_B02_025,Roseate Spoonbill Life History,Cornell Lab of Ornithology,Cornell University,https://www.allaboutbirds.org/guide/Roseate_Spoonbill/lifehistory,true
SRC_R01_B02_026,Common Sandpiper,British Trust for Ornithology,British Trust for Ornithology,https://www.bto.org/learn/about-birds/birdfacts/common-sandpiper,true
SRC_R01_B02_027,Lapwing,British Trust for Ornithology,British Trust for Ornithology,https://www.bto.org/learn/about-birds/birdfacts/lapwing,true
SRC_R01_B02_028,Water Rail,British Trust for Ornithology,British Trust for Ornithology,https://www.bto.org/learn/about-birds/birdfacts/water-rail,true
SRC_R01_B02_029,Common Bottlenose Dolphin,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/common-bottlenose-dolphin?page=2,true
SRC_R01_B02_030,Cuvier's Beaked Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/cuviers-beaked-whale/science?page=0,true
SRC_R01_B02_031,False Killer Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/false-killer-whale?os=rokuzoazxzms%2Fqedfgxew&page=1,true
SRC_R01_B02_032,Sperm Whale,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/sperm-whale,true
SRC_R01_B02_033,Spinner Dolphin,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/spinner-dolphin?page=1,true
SRC_R01_B02_034,Vaquita,NOAA Fisheries,National Oceanic and Atmospheric Administration,https://www.fisheries.noaa.gov/species/vaquita,true
SRC_R01_B02_035,Short-tailed Albatross (Phoebastria albatrus),U.S. Fish and Wildlife Service,U.S. Department of the Interior,https://www.fws.gov/species/short-tailed-albatross-phoebastria-albatrus,true
SRC_R01_B02_036,Department of Natural Resources,The Hopi Tribe,The Hopi Tribe,https://www.hopi-nsn.gov/tribal-services/department-natural-resources-2/,true
SRC_R01_B02_037,Hamerkop — Scopus umbretta,The Maryland Zoo,The Maryland Zoo in Baltimore,https://www.marylandzoo.org/wp-content/uploads/2021/10/Hamerkop-8.19.21.pdf,true
SRC_R01_B02_038,The Key to the Continent: Early Military History of the Oneida Carry,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/articles/000/early-military-history-of-the-oneida-carry.htm,true
SRC_R01_B02_039,Nature & Science - Hubbell Trading Post National Historic Site,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/hutr/learn/nature/index.htm,true
SRC_R01_B02_040,History and Culture of the Mississippi Delta Region,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/locations/lowermsdeltaregion/history-and-culture-of-the-mississippi-delta-region.htm,true
SRC_R01_B02_041,The Diné (Navajo) Long Walk,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/planyourvisit/event-details.htm?id=20B67C8A-A426-77F9-5D9F77DD919D7E56,true
SRC_R01_B02_042,Anishinaabek Culture,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/slbe/learn/historyculture/anishinaabek-culture.htm,true
SRC_R01_B02_043,The Story of Sleeping Bear,"National Park Service, U.S. Department of the Interior","National Park Service, U.S. Department of the Interior",https://www.nps.gov/slbe/learn/kidsyouth/the-story-of-sleeping-bear.htm,true
SRC_R01_B02_044,Great Crested Grebe,Royal Society for the Protection of Birds,RSPB,https://www.rspb.org.uk/birds-and-wildlife/great-crested-grebe,true
SRC_R02_B01_001,Choeropsis liberiensis (Artiodactyla: Hippopotamidae),American Society of Mammalogists,Oxford University Press,https://academic.oup.com/mspecies/article/51/982/100/5661028,true
SRC_R02_B01_002,Litocranius walleri (Artiodactyla: Bovidae),American Society of Mammalogists,Oxford University Press,https://academic.oup.com/mspecies/article/53/1005/65/6309890,true
SRC_R02_B01_003,Martes martes (Carnivora: Mustelidae),American Society of Mammalogists,Oxford University Press,https://academic.oup.com/mspecies/article/54/1022/seac007/6754854,true
SRC_R02_B01_004,"Taxonomic revision of the olingos (Bassaricyon), with description of a new species, the Olinguito",CUNY Graduate Center and Smithsonian Institution,"Pensoft Publishers, ZooKeys",https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1392&context=gc_pubs,true
SRC_R02_B01_005,Ammotragus lervia,"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Ammotragus_lervia/,true
SRC_R02_B01_006,Canis simensis (Ethiopian wolf),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Canis_simensis/,true
SRC_R02_B01_007,Gazella dorcas (dorcas gazelle),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Gazella_dorcas/,true
SRC_R02_B01_008,Hyemoschus aquaticus (water chevrotain),"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Hyemoschus_aquaticus/,true
SRC_R02_B01_009,Moschus chrysogaster (alpine musk deer),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Moschus_chrysogaster/,true
SRC_R02_B01_010,Moschus moschiferus (Siberian musk deer),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Moschus_moschiferus/,true
SRC_R02_B01_011,Mustela nivalis (least weasel),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Mustela_nivalis/,true
SRC_R02_B01_012,Odobenus rosmarus (walrus),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Odobenus_rosmarus/,true
SRC_R02_B01_013,Oryx dammah (scimitar-horned oryx),"Animal Diversity Web, University of Michigan Museum of Zoology",Regents of the University of Michigan,https://animaldiversity.org/accounts/Oryx_dammah/,true
SRC_R02_B01_014,Ocelot,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/ocelot,true
SRC_R02_B01_015,Okapi,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/okapi,true
SRC_R02_B01_016,Striped Hyena,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/striped-hyena,true
SRC_R02_B01_017,Sun Bear,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/sun-bear,true
SRC_R02_B01_018,Takin,San Diego Zoo Wildlife Alliance,San Diego Zoo Wildlife Alliance,https://animals.sandiegozoo.org/animals/takin,true
SRC_R02_B01_019,"Status of the African wild dog in the Benoue Complex, North Cameroon",IUCN/SSC Canid Specialist Group,Canid News,https://canids.org/CBC/15/African_wild_dogs_in_Cameroon.pdf,true
SRC_R02_B01_020,Reticulated Giraffe,Denver Zoo Conservation Alliance,Denver Zoo Conservation Alliance,https://denverzoo.org/animals/reticulated-giraffe/,true
SRC_R02_B01_021,Civettictis civetta,Biodiversity Literature Repository by Plazi,Lynx Edicions,https://doi.org/10.5281/zenodo.5714830,true
SRC_R02_B01_022,Ranging and parental care of the raccoon dog Nyctereutes procyonoides during pup rearing,TU Dresden Research Portal,Acta Theriologica,https://fis.tu-dresden.de/portal/en/publications/ranging-and-parental-care-of-the-raccoon-dog-nyctereutes-procyonoides-during-pup-rearing%28f4b34c65-761e-4b4a-b986-097aebdae3c9%29.html,true
SRC_R02_B01_023,Astore Markhor,"Forest, Wildlife & Environment Department, Government of Gilgit-Baltistan",Government of Gilgit-Baltistan,https://fwegb.gov.pk/markhor/,true
SRC_R02_B01_024,American Hog-nosed Skunk,"Grand Canyon National Park, National Park Service",U.S. National Park Service,https://home.nps.gov/grca/learn/nature/american-hog-nosed-skunk.htm,true
SRC_R02_B01_025,Serval,Los Angeles Zoo and Botanical Gardens,City of Los Angeles,https://lazoo.org/explore-your-zoo/our-animals/mammals/serval/,true
SRC_R02_B01_026,Banded mongoose,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/banded-mongoose,true
SRC_R02_B01_027,Binturong,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/binturong,true
SRC_R02_B01_028,Caracal lynx,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/caracal-lynx,true
SRC_R02_B01_029,Cheetah,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/cheetah,true
SRC_R02_B01_030,Clouded leopard,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/clouded-leopard,true
SRC_R02_B01_031,Giant panda,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/giant-panda,true
SRC_R02_B01_032,Maned wolf,Smithsonian's National Zoo and Conservation Biology Institute,Smithsonian Institution,https://nationalzoo.si.edu/animals/maned-wolf,true
