evidenceId,researchUnitId,targetField,batchId,journalEntryId,researchedAt,sourceOpened,sourceUrl,sourceTitle,locator,boundedContext,sourceFact,normalizationBridge,generatedBy,citationId,sourceId,authorOrOrganization,publisher,stableUrlOrIdentifier,subjectAlignment,claimAlignment,citationBoundedContext,journalQuery,journalSearchResultChosen,journalActualOpenedUrl,journalAccepted,inheritedBreedCount,inheritedBreedIds
EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,SPC_ANHIMA_CORNUTA,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,2026-08-19T18:08:00Z,true,https://animaldiversity.org/accounts/Anhima_cornuta/,Anhima cornuta (horned screamer),Habitat,"Horned screamers live around freshwater lakes, ponds, rivers, marshes, and swamps in open tropical country.","Natural habitat spans freshwater, wetland, and grassland.","Natural habitat spans freshwater, wetland, and grassland. Normalized only to controlled terrainBroad tokens: FRESHWATER, WETLAND, GRASSLAND.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,SRC_R01_B01_004,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anhima_cornuta/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"Horned screamers live around freshwater lakes, ponds, rivers, marshes, and swamps in open tropical country.",site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,1,BRD_HORNED_SCREAMER
EVD_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,SPC_ANHIMA_CORNUTA,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,2026-08-19T18:08:00Z,true,https://animaldiversity.org/accounts/Anhima_cornuta/,Anhima cornuta (horned screamer),Habitat,"The account names lakes, ponds, rivers, marshes, swamps, and savanna-like open habitat.","Specific habitats include lake, pond, river, marsh, swamp, and savanna.","Specific habitats include lake, pond, river, marsh, swamp, and savanna. Normalized only to controlled terrainSpecific tokens: LAKE, POND, RIVER, MARSH, SWAMP, SAVANNA.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,SRC_R01_B01_004,"Animal Diversity Web, University of Michigan Museum of Zoology",University of Michigan,https://animaldiversity.org/accounts/Anhima_cornuta/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"The account names lakes, ponds, rivers, marshes, swamps, and savanna-like open habitat.",site:animaldiversity.org/accounts/Anhima_cornuta horned screamer habitat behavior,Anhima cornuta (horned screamer) | Animal Diversity Web,https://animaldiversity.org/accounts/Anhima_cornuta/,true,1,BRD_HORNED_SCREAMER
EVD_JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,SPC_ANHINGA_ANHINGA,personalityId,R01_B01,JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anhinga_anhinga/,Anhinga anhinga (anhinga),Reproduction and parental investment,"The exact-species account reports shared incubation and a ritualized mate exchange involving vocalizing, neck-stretching, and nest material.",Anhinga parents share and ritualize incubation duty at the nest.,Shared incubation and ritualized nest-duty exchange is a direct outward nest-duty expression.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,SRC_R01_B01_005,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"The exact-species account reports shared incubation and a ritualized mate exchange involving vocalizing, neck-stretching, and nest material.",site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,1,BRD_ANHINGA
EVD_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_BROAD_001,SPC_ANHINGA_ANHINGA,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_BROAD_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anhinga_anhinga/,Anhinga anhinga (anhinga),Habitat,The account identifies freshwater and coastal aquatic habitat with wooded shores or islands.,"Anhingas use freshwater, wetland, and coastal aquatic systems.","Anhingas use freshwater, wetland, and coastal aquatic systems. Normalized only to controlled terrainBroad tokens: FRESHWATER, WETLAND, COASTAL.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_BROAD_001,SRC_R01_B01_005,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account identifies freshwater and coastal aquatic habitat with wooded shores or islands.,site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,1,BRD_ANHINGA
EVD_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_SPECIFIC_001,SPC_ANHINGA_ANHINGA,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_SPECIFIC_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anhinga_anhinga/,Anhinga anhinga (anhinga),Habitat,"Named habitats include lakes, marshes, swamps, mangrove swamps, shallow coastal bays, and lagoons.","Lake, marsh, swamp, mangrove, and estuarine settings are supported exact habitats.","Lake, marsh, swamp, mangrove, and estuarine settings are supported exact habitats. Normalized only to controlled terrainSpecific tokens: LAKE, MARSH, SWAMP, MANGROVE, ESTUARY.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_SPECIFIC_001,SRC_R01_B01_005,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"Named habitats include lakes, marshes, swamps, mangrove swamps, shallow coastal bays, and lagoons.",site:animaldiversity.org/accounts/Anhinga_anhinga Anhinga anhinga habitat behavior,Anhinga anhinga (anhinga) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anhinga_anhinga/,true,1,BRD_ANHINGA
EVD_JRN_R01_B01_SPC_ANSER_ANSER_PERSONALITY_001,SPC_ANSER_ANSER,personalityId,R01_B01,JRN_R01_B01_SPC_ANSER_ANSER_PERSONALITY_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/anser/a._anser,Anser anser (greylag goose),Behavior,The account describes sociable family-to-thousand-bird groups that fly in V-patterns during long-distance travel.,Greylag geese synchronize movement in social V-formations.,Observed social V-formation travel directly expresses synchronized movement.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_ANSER_PERSONALITY_001,SRC_R01_B01_044,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account describes sociable family-to-thousand-bird groups that fly in V-patterns during long-distance travel.,site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,1,BRD_GREYLAG_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_BROAD_001,SPC_ANSER_ANSER,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_BROAD_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/anser/a._anser,Anser anser (greylag goose),Habitat,Breeding and nonbreeding habitat includes lowland freshwater and salt-water wetland systems.,Greylag geese use wetland and coastal systems.,"Greylag geese use wetland and coastal systems. Normalized only to controlled terrainBroad tokens: WETLAND, COASTAL.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_BROAD_001,SRC_R01_B01_044,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,Breeding and nonbreeding habitat includes lowland freshwater and salt-water wetland systems.,site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,1,BRD_GREYLAG_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_SPECIFIC_001,SPC_ANSER_ANSER,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_SPECIFIC_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/anser/a._anser,Anser anser (greylag goose),Habitat,"The account specifically names marshes, fens, offshore islands, and estuaries.","Marsh, swamp/fen, island, and estuary habitats are supported.","Marsh, swamp/fen, island, and estuary habitats are supported. Normalized only to controlled terrainSpecific tokens: MARSH, SWAMP, ESTUARY, ISLAND.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_ANSER_TERRAIN_SPECIFIC_001,SRC_R01_B01_044,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,"The account specifically names marshes, fens, offshore islands, and estuaries.",site:animaldiversity.org/accounts/Anser_anser Anser anser habitat behavior,Anser anser (greylag goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/anser/a._anser,true,1,BRD_GREYLAG_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_CANAGICUS_PERSONALITY_001,SPC_ANSER_CANAGICUS,personalityId,R01_B01,JRN_R01_B01_SPC_ANSER_CANAGICUS_PERSONALITY_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anser_canagicus/,Anser canagicus (Emperor goose),Communication and Perception,The species account explicitly describes emperor geese as much less vocal than most other geese.,Emperor geese characteristically use relatively sparse vocal signaling.,The exact-species account's explicit comparison of unusually low vocal output directly supports the silence expression.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_PERSONALITY_001,SRC_R01_B01_006,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The species account explicitly describes emperor geese as much less vocal than most other geese.,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,1,BRD_EMPEROR_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_BROAD_001,SPC_ANSER_CANAGICUS,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_BROAD_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anser_canagicus/,Anser canagicus (Emperor goose),Behavior and Food Habits,The account places wintering birds on Aleutian and Commander islands and describes intertidal foraging.,Emperor geese depend on coastal island and intertidal habitat.,Emperor geese depend on coastal island and intertidal habitat. Normalized only to controlled terrainBroad tokens: COASTAL.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_BROAD_001,SRC_R01_B01_006,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account places wintering birds on Aleutian and Commander islands and describes intertidal foraging.,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,1,BRD_EMPEROR_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_SPECIFIC_001,SPC_ANSER_CANAGICUS,terrainSpecific,R01_B01,JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_SPECIFIC_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anser_canagicus/,Anser canagicus (Emperor goose),Food Habits,The account reports intertidal feeding and a foot-stamping foraging method on mud flats.,Mudflats and coastal islands are exact supported habitat settings.,"Mudflats and coastal islands are exact supported habitat settings. Normalized only to controlled terrainSpecific tokens: MUDFLAT, ISLAND.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_CANAGICUS_TERRAIN_SPECIFIC_001,SRC_R01_B01_006,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account reports intertidal feeding and a foot-stamping foraging method on mud flats.,site:animaldiversity.org/accounts/Anser_canagicus Anser canagicus habitat behavior,Anser canagicus (Emperor goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_canagicus/,true,1,BRD_EMPEROR_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_INDICUS_PERSONALITY_001,SPC_ANSER_INDICUS,personalityId,R01_B01,JRN_R01_B01_SPC_ANSER_INDICUS_PERSONALITY_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anser_indicus/,Anser indicus (bar-headed goose),Behavior and Communication,Migrating groups maintain V-shaped spacing and rotate the lead position to reduce individual drag.,Bar-headed geese synchronize formation movement and rotate leadership during migration.,Coordinated V-flight with maintained spacing and rotating leadership is a narrow outward movement-synchrony behavior.,BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_INDICUS_PERSONALITY_001,SRC_R01_B01_007,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,Migrating groups maintain V-shaped spacing and rotate the lead position to reduce individual drag.,site:animaldiversity.org/accounts/Anser_indicus Anser indicus habitat behavior,Anser indicus (bar-headed goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true,1,BRD_BAR_HEADED_GOOSE
EVD_JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_BROAD_001,SPC_ANSER_INDICUS,terrainBroad,R01_B01,JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_BROAD_001,2026-08-19T17:52:49Z,true,https://animaldiversity.org/accounts/Anser_indicus/,Anser indicus (bar-headed goose),Behavior and Food Habits,The account places breeding on the high-elevation Tibetan-Qinghai Plateau around highland lakes and streams.,Bar-headed geese use mountain and freshwater systems for breeding.,"Bar-headed geese use mountain and freshwater systems for breeding. Normalized only to controlled terrainBroad tokens: MOUNTAIN, FRESHWATER.",BATCH_RESEARCH,CIT_JRN_R01_B01_SPC_ANSER_INDICUS_TERRAIN_BROAD_001,SRC_R01_B01_007,University of Michigan Museum of Zoology,Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE,The account places breeding on the high-elevation Tibetan-Qinghai Plateau around highland lakes and streams.,site:animaldiversity.org/accounts/Anser_indicus Anser indicus habitat behavior,Anser indicus (bar-headed goose) | INFORMATION | Animal Diversity Web,https://animaldiversity.org/accounts/Anser_indicus/,true,1,BRD_BAR_HEADED_GOOSE
