poiId,simulatorName,atlasName,classification,simulatorBefore,activeAtlas,databaseAfter,fieldsChanged,authorityUsed,notes
"POI-011","Ocean Whirlpool","Ocean Whirlpool","INVALID_GEOGRAPHY","{""poiType"":""WHIRLPOOL"",""latitude"":-52.05186,""longitude"":-2.435175,""siteId"":""SITE-172"",""regionId"":""R25"",""surfaceType"":""OPEN_WATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-11""}","{""poiType"":""WHIRLPOOL"",""latitude"":-52.05186,""longitude"":-2.435175,""regionId"":""R25""}","{""poiType"":""WHIRLPOOL"",""latitude"":-52.05186,""longitude"":-2.435175,""siteId"":""SITE-172"",""regionId"":""R25"",""surfaceType"":""OPEN_WATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-11"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared OPEN_WATER coordinate resolves to Nimbus land and biome class 11; no authoritative replacement anchor exists."
"POI-012","Floating Island Group","Floating Island Group","EXACT_MATCH","{""poiType"":""FLOATING_ISLAND_GROUP"",""latitude"":17.959414,""longitude"":47.282976,""siteId"":""SITE-067"",""regionId"":""R10"",""surfaceType"":""FLOATING_ISLAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-04""}","{""poiType"":""FLOATING_ISLAND_GROUP"",""latitude"":17.959414,""longitude"":47.282976,""regionId"":""R10""}","{""poiType"":""FLOATING_ISLAND_GROUP"",""latitude"":17.959414,""longitude"":47.282976,""siteId"":""SITE-067"",""regionId"":""R10"",""surfaceType"":""FLOATING_ISLAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-04"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-013","Visible Geyser","Visible Geyser","EXACT_MATCH","{""poiType"":""GEYSER"",""latitude"":19.988726,""longitude"":50.326945,""siteId"":""SITE-061"",""regionId"":""R09"",""surfaceType"":""FLOATING_ISLAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-04""}","{""poiType"":""GEYSER"",""latitude"":19.988726,""longitude"":50.326945,""regionId"":""R09""}","{""poiType"":""GEYSER"",""latitude"":19.988726,""longitude"":50.326945,""siteId"":""SITE-061"",""regionId"":""R09"",""surfaceType"":""FLOATING_ISLAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-04"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-014","Volcanic Caldera","Volcanic Caldera","INVALID_GEOGRAPHY","{""poiType"":""CALDERA"",""latitude"":-18.568207,""longitude"":-11.56708,""siteId"":""SITE-128"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""CALDERA"",""latitude"":-18.568207,""longitude"":-11.56708,""regionId"":""R19""}","{""poiType"":""CALDERA"",""latitude"":-18.568207,""longitude"":-11.56708,""siteId"":""SITE-128"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared LAND coordinate resolves to Nimbus open ocean; no authoritative replacement anchor exists."
"POI-015","Hot Spring Field","Hot Spring Field","INVALID_GEOGRAPHY","{""poiType"":""HOT_SPRING"",""latitude"":-11.465614,""longitude"":-5.479143,""siteId"":""SITE-132"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""HOT_SPRING"",""latitude"":-11.465614,""longitude"":-5.479143,""regionId"":""R19""}","{""poiType"":""HOT_SPRING"",""latitude"":-11.465614,""longitude"":-5.479143,""siteId"":""SITE-132"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared LAND coordinate resolves to Nimbus open ocean; no authoritative replacement anchor exists."
"POI-016","Abyssal Underwater Landmark","Abyssal Underwater Landmark","EXACT_MATCH","{""poiType"":""UNDERWATER_LANDMARK"",""latitude"":-50.022548,""longitude"":87.869222,""siteId"":""SITE-145"",""regionId"":""R21"",""surfaceType"":""UNDERWATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""UNDERWATER_LANDMARK"",""latitude"":-50.022548,""longitude"":87.869222,""regionId"":""R21""}","{""poiType"":""UNDERWATER_LANDMARK"",""latitude"":-50.022548,""longitude"":87.869222,""siteId"":""SITE-145"",""regionId"":""R21"",""surfaceType"":""UNDERWATER"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-017","Polar Arcane Anomaly","Polar Arcane Anomaly","INVALID_GEOGRAPHY","{""poiType"":""POLAR_ANOMALY"",""latitude"":75.794814,""longitude"":18.872604,""siteId"":""SITE-100"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN""}","{""poiType"":""POLAR_ANOMALY"",""latitude"":75.794814,""longitude"":18.872604,""regionId"":""R15""}","{""poiType"":""POLAR_ANOMALY"",""latitude"":75.794814,""longitude"":18.872604,""siteId"":""SITE-100"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":null,""primaryBiomeId"":""BIOME-OCEAN"",""placementStatus"":""WITHHELD_CONFLICT"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2:WITHHELD_CONFLICT","Declared LAND coordinate resolves to Nimbus open ocean; no authoritative replacement anchor exists."
"POI-018","Northwestern Spine Range","Northwestern Spine Range","EXACT_MATCH","{""poiType"":""MOUNTAIN_RANGE"",""latitude"":52.982609,""longitude"":-105.934046,""siteId"":""SITE-028"",""regionId"":""R04"",""surfaceType"":""LAND"",""hostFeatureId"":""MOUNTAIN-RANGE-001"",""primaryBiomeId"":""BIOME-CLASS-ALPINE_MOUNTAIN""}","{""poiType"":""MOUNTAIN_RANGE"",""latitude"":52.982609,""longitude"":-105.934046,""regionId"":""R04""}","{""poiType"":""MOUNTAIN_RANGE"",""latitude"":52.982609,""longitude"":-105.934046,""siteId"":""SITE-028"",""regionId"":""R04"",""surfaceType"":""LAND"",""hostFeatureId"":""MOUNTAIN-RANGE-001"",""primaryBiomeId"":""BIOME-CLASS-ALPINE_MOUNTAIN"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-019","High North Peak","High North Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":75.119537,""longitude"":-109.737107,""siteId"":""SITE-021"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-01"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":75.119537,""longitude"":-109.737107,""regionId"":""R03""}","{""poiType"":""PEAK"",""latitude"":75.119537,""longitude"":-109.737107,""siteId"":""SITE-021"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-01"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-020","Central Spine Peak","Central Spine Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":62.236552,""longitude"":-107.537895,""siteId"":""SITE-016"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-02"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":62.236552,""longitude"":-107.537895,""regionId"":""R03""}","{""poiType"":""PEAK"",""latitude"":62.236552,""longitude"":-107.537895,""siteId"":""SITE-016"",""regionId"":""R03"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-02"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-021","Southern Spine Peak","Southern Spine Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":34.889584,""longitude"":-99.328597,""siteId"":""SITE-035"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-03"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":34.889584,""longitude"":-99.328597,""regionId"":""R05""}","{""poiType"":""PEAK"",""latitude"":34.889584,""longitude"":-99.328597,""siteId"":""SITE-035"",""regionId"":""R05"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-NW-03"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-022","Western Snow Peak","Western Snow Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":58.544592,""longitude"":36.611755,""siteId"":""SITE-060"",""regionId"":""R09"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-01"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":58.544592,""longitude"":36.611755,""regionId"":""R09""}","{""poiType"":""PEAK"",""latitude"":58.544592,""longitude"":36.611755,""siteId"":""SITE-060"",""regionId"":""R09"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-01"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-023","Eastern Badland Peak","Eastern Badland Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":40.86681,""longitude"":95.597215,""siteId"":""SITE-097"",""regionId"":""R14"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-02"",""primaryBiomeId"":""BIOME-01""}","{""poiType"":""PEAK"",""latitude"":40.86681,""longitude"":95.597215,""regionId"":""R14""}","{""poiType"":""PEAK"",""latitude"":40.86681,""longitude"":95.597215,""siteId"":""SITE-097"",""regionId"":""R14"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-02"",""primaryBiomeId"":""BIOME-01"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-024","Southwest Peak","Southwest Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":18.220072,""longitude"":31.677112,""siteId"":""SITE-101"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-03"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":18.220072,""longitude"":31.677112,""regionId"":""R15""}","{""poiType"":""PEAK"",""latitude"":18.220072,""longitude"":31.677112,""siteId"":""SITE-101"",""regionId"":""R15"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-EA-03"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-025","Northwest High Peak","Northwest High Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":-10.135729,""longitude"":-78.658727,""siteId"":""SITE-121"",""regionId"":""R18"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-01"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":-10.135729,""longitude"":-78.658727,""regionId"":""R18""}","{""poiType"":""PEAK"",""latitude"":-10.135729,""longitude"":-78.658727,""siteId"":""SITE-121"",""regionId"":""R18"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-01"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-026","Central High Peak","Central High Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":-22.626846,""longitude"":-68.149411,""siteId"":""SITE-122"",""regionId"":""R18"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-02"",""primaryBiomeId"":""BIOME-06""}","{""poiType"":""PEAK"",""latitude"":-22.626846,""longitude"":-68.149411,""regionId"":""R18""}","{""poiType"":""PEAK"",""latitude"":-22.626846,""longitude"":-68.149411,""siteId"":""SITE-122"",""regionId"":""R18"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-02"",""primaryBiomeId"":""BIOME-06"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-027","Eastern Volcano Peak","Eastern Volcano Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":-26.902138,""longitude"":2.704108,""siteId"":""SITE-132"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-03"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":-26.902138,""longitude"":2.704108,""regionId"":""R19""}","{""poiType"":""PEAK"",""latitude"":-26.902138,""longitude"":2.704108,""siteId"":""SITE-132"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-03"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-028","Far East Volcano Peak","Far East Volcano Peak","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":-29.976244,""longitude"":20.769489,""siteId"":""SITE-127"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-04"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":-29.976244,""longitude"":20.769489,""regionId"":""R19""}","{""poiType"":""PEAK"",""latitude"":-29.976244,""longitude"":20.769489,""siteId"":""SITE-127"",""regionId"":""R19"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-SW-04"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-029","Derived Summit 01","Derived Summit 01","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":41.625,""longitude"":89.625,""siteId"":""SITE-095"",""regionId"":""R14"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-DER-001"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":41.625,""longitude"":89.625,""regionId"":""R14""}","{""poiType"":""PEAK"",""latitude"":41.625,""longitude"":89.625,""siteId"":""SITE-095"",""regionId"":""R14"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-DER-001"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
"POI-030","Derived Summit 02","Derived Summit 02","EXACT_MATCH","{""poiType"":""PEAK"",""latitude"":-36.625,""longitude"":-61.125,""siteId"":""SITE-147"",""regionId"":""R21"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-DER-002"",""primaryBiomeId"":""BIOME-02""}","{""poiType"":""PEAK"",""latitude"":-36.625,""longitude"":-61.125,""regionId"":""R21""}","{""poiType"":""PEAK"",""latitude"":-36.625,""longitude"":-61.125,""siteId"":""SITE-147"",""regionId"":""R21"",""surfaceType"":""LAND"",""hostFeatureId"":""PEAK-DER-002"",""primaryBiomeId"":""BIOME-02"",""placementStatus"":""AUTHORITATIVE"",""spatialAuthorityId"":""EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2""}","[]","EIDOLON_PUBLIC_3D_ATLAS_e760e7cd01c283d7a0e2",""
